Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,-0.7015,346.0353,-0.822,346.0353,0
346.2482,-0.7015,346.2482,-0.822,346.2482,0
346.4611,-0.7015,346.4611,-0.822,346.4611,0
346.674,0,346.674,0.4103,346.674,0
346.8868,0,346.8868,-0.0713,346.8868,0.4776
347.0997,0.6386,347.0997,0,347.0997,-0.0778
347.3125,-0.1165,347.3125,0,347.3125,0
347.5254,0,347.5254,0,347.5254,0
347.7382,0.5054,347.7382,-0.3007,347.7382,0.1004
347.951,-0.2031,347.951,0,347.951,0
348.1638,0.0155,348.1638,0,348.1638,0
348.3766,0,348.3766,0,348.3766,0.5321
348.5894,0.8477,348.5894,-0.0014,348.5894,0
348.8022,0,348.8022,-0.07,348.8022,0.2096
349.015,0,349.015,0,349.015,0.016
349.2277,0,349.2277,-0.119,349.2277,0
349.4405,-0.156,349.4405,0,349.4405,0.4569
349.6532,-0.1376,349.6532,-0.5464,349.6532,0.2865
349.866,0.3719,349.866,0.3683,349.866,0.2426
350.0787,0.3383,350.0787,0.3881,350.0787,0.1972
350.2914,0.3757,350.2914,0.3356,350.2914,0.1937
350.5041,0.4216,350.5041,0.3056,350.5041,0.182
350.7168,0.3567,350.7168,0.3674,350.7168,0.1878
350.9295,0.3808,350.9295,0.3048,350.9295,0.1826
351.1421,0.3851,351.1421,0.3924,351.1421,0.1954
351.3548,0.324,351.3548,0.3974,351.3548,0.2354
351.5675,0.4113,351.5675,0.3608,351.5675,0.165
351.7801,0.3572,351.7801,0.3306,351.7801,0.1718
351.9927,0.3665,351.9927,0.3772,351.9927,0.1789
352.2053,0.3302,352.2053,0.3577,352.2053,0.1552
352.418,0.3359,352.418,0.3679,352.418,0.1978
352.6306,0.3561,352.6306,0.3546,352.6306,0.2043
352.8432,0.3585,352.8432,0.3526,352.8432,0.2227
353.0557,0.3809,353.0557,0.3622,353.0557,0.1805
353.2683,0.3701,353.2683,0.3689,353.2683,0.1957
353.4809,0.3639,353.4809,0.4411,353.4809,0.1939
353.6934,0.4237,353.6934,0.3927,353.6934,0.1953
353.906,0.3475,353.906,0.3688,353.906,0.2085
354.1185,0.3806,354.1185,0.3916,354.1185,0.2014
354.331,0.399,354.331,0.3916,354.331,0.1999
354.5435,0.3906,354.5435,0.3877,354.5435,0.1808
354.756,0.3555,354.756,0.3472,354.756,0.2034
354.9685,0.3735,354.9685,0.3225,354.9685,0.1971
355.181,0.3679,355.181,0.3443,355.181,0.1996
355.3935,0.3663,355.3935,0.4063,355.3935,0.1995
355.6059,0.3777,355.6059,0.3573,355.6059,0.1987
355.8184,0.3283,355.8184,0.3261,355.8184,0.1503
356.0308,0.381,356.0308,0.3287,356.0308,0.1656
356.2433,0.4529,356.2433,0.3483,356.2433,0.1718
356.4557,0.3859,356.4557,0.3084,356.4557,0.2385
356.6681,0.338,356.6681,0.386,356.6681,0.1601
356.8805,0.3637,356.8805,0.368,356.8805,0.1874
357.0929,0.3908,357.0929,0.3845,357.0929,0.2362
357.3053,0.3784,357.3053,0.3995,357.3053,0.1987
357.5176,0.3793,357.5176,0.3783,357.5176,0.1939
357.73,0.4125,357.73,0.3481,357.73,0.2093
357.9424,0.3695,357.9424,0.3484,357.9424,0.1777
358.1547,0.3603,358.1547,0.3787,358.1547,0.2064
358.367,0.3482,358.367,0.3771,358.367,0.1864
358.5793,0.3651,358.5793,0.3625,358.5793,0.1824
358.7917,0.3965,358.7917,0.3388,358.7917,0.2025
359.004,0.4026,359.004,0.3862,359.004,0.1833
359.2162,0.3611,359.2162,0.3584,359.2162,0.2203
359.4285,0.3847,359.4285,0.3438,359.4285,0.1946
359.6408,0.3636,359.6408,0.4089,359.6408,0.1964
359.8531,0.3492,359.8531,0.3666,359.8531,0.2065
360.0653,0.3565,360.0653,0.3746,360.0653,0.1881
360.2776,0.4347,360.2776,0.3853,360.2776,0.1458
360.4898,0.3861,360.4898,0.3756,360.4898,0.188
360.702,0.3925,360.702,0.3823,360.702,0.2074
360.9142,0.407,360.9142,0.3462,360.9142,0.1867
361.1264,0.4,361.1264,0.3784,361.1264,0.1955
361.3386,0.3757,361.3386,0.3311,361.3386,0.194
361.5508,0.3875,361.5508,0.4064,361.5508,0.1719
361.763,0.3798,361.763,0.4198,361.763,0.1838
361.9751,0.3684,361.9751,0.3795,361.9751,0.1812
362.1873,0.4208,362.1873,0.3397,362.1873,0.1954
362.3994,0.3598,362.3994,0.3268,362.3994,0.1694
362.6115,0.3521,362.6115,0.3065,362.6115,0.1878
362.8237,0.3419,362.8237,0.3138,362.8237,0.1965
363.0358,0.3868,363.0358,0.3397,363.0358,0.2334
363.2479,0.3973,363.2479,0.3909,363.2479,0.185
363.46,0.383,363.46,0.3352,363.46,0.2071
363.672,0.3973,363.672,0.3824,363.672,0.195
363.8841,0.3234,363.8841,0.3715,363.8841,0.2007
364.0962,0.3257,364.0962,0.3927,364.0962,0.1647
364.3082,0.4125,364.3082,0.3574,364.3082,0.1775
364.5202,0.38,364.5202,0.3642,364.5202,0.235
364.7323,0.38,364.7323,0.3742,364.7323,0.1984
364.9443,0.3969,364.9443,0.4121,364.9443,0.1736
365.1563,0.4002,365.1563,0.3173,365.1563,0.1758
365.3683,0.3242,365.3683,0.4065,365.3683,0.199
365.5803,0.3758,365.5803,0.4047,365.5803,0.2142
365.7923,0.3824,365.7923,0.3641,365.7923,0.1729
366.0042,0.3695,366.0042,0.3643,366.0042,0.2009
366.2162,0.3752,366.2162,0.3503,366.2162,0.1911
366.4281,0.4036,366.4281,0.3799,366.4281,0.2001
366.6401,0.3962,366.6401,0.3703,366.6401,0.1942
366.852,0.3929,366.852,0.3963,366.852,0.1975
367.0639,0.4142,367.0639,0.3453,367.0639,0.1868
367.2758,0.3776,367.2758,0.3506,367.2758,0.1887
367.4877,0.3737,367.4877,0.371,367.4877,0.1841
367.6996,0.371,367.6996,0.3959,367.6996,0.1792
367.9115,0.3559,367.9115,0.3586,367.9115,0.1852
368.1234,0.3803,368.1234,0.354,368.1234,0.1902
368.3352,0.3795,368.3352,0.3935,368.3352,0.1782
368.5471,0.3867,368.5471,0.3589,368.5471,0.1907
368.7589,0.3816,368.7589,0.3583,368.7589,0.1646
368.9707,0.3777,368.9707,0.353,368.9707,0.1798
369.1825,0.3601,369.1825,0.3509,369.1825,0.1908
369.3943,0.3705,369.3943,0.3533,369.3943,0.1789
369.6061,0.3625,369.6061,0.3646,369.6061,0.174
369.8179,0.3602,369.8179,0.381,369.8179,0.2007
370.0297,0.3745,370.0297,0.3644,370.0297,0.1747
370.2415,0.3884,370.2415,0.3809,370.2415,0.1886
370.4532,0.3638,370.4532,0.3351,370.4532,0.1619
370.665,0.3597,370.665,0.3678,370.665,0.1739
370.8767,0.3542,370.8767,0.3589,370.8767,0.1992
371.0884,0.371,371.0884,0.4098,371.0884,0.1821
371.3001,0.396,371.3001,0.3421,371.3001,0.1785
371.5118,0.3519,371.5118,0.376,371.5118,0.2064
371.7235,0.3748,371.7235,0.3454,371.7235,0.2012
371.9352,0.3775,371.9352,0.364,371.9352,0.1904
372.1469,0.3594,372.1469,0.352,372.1469,0.1795
372.3585,0.3827,372.3585,0.3769,372.3585,0.1974
372.5702,0.3676,372.5702,0.3603,372.5702,0.1694
372.7818,0.3816,372.7818,0.3791,372.7818,0.1993
372.9935,0.3689,372.9935,0.3786,372.9935,0.2019
373.2051,0.3466,373.2051,0.3531,373.2051,0.1725
373.4167,0.3882,373.4167,0.3421,373.4167,0.1974
373.6283,0.4042,373.6283,0.3305,373.6283,0.1819
373.8399,0.3522,373.8399,0.3423,373.8399,0.1856
374.0515,0.3751,374.0515,0.3655,374.0515,0.1863
374.263,0.3772,374.263,0.3821,374.263,0.1842
