Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,-0.3156,346.0353,0.5073,346.0353,0.1154
346.2482,-0.3156,346.2482,0.5073,346.2482,0.1154
346.4611,-0.3156,346.4611,0.5073,346.4611,0.1154
346.674,0,346.674,0.5907,346.674,-0.3399
346.8868,0.5526,346.8868,-0.0336,346.8868,-1.5218
347.0997,0,347.0997,0.1307,347.0997,0
347.3125,-0.5089,347.3125,0.0215,347.3125,0.1322
347.5254,0,347.5254,0.2738,347.5254,0.2649
347.7382,0,347.7382,0,347.7382,0
347.951,0,347.951,0.2501,347.951,0
348.1638,0.1861,348.1638,-0.4679,348.1638,-0.1768
348.3766,0,348.3766,0.3135,348.3766,0.4752
348.5894,0.6785,348.5894,0,348.5894,0
348.8022,0,348.8022,-0.1798,348.8022,-0.3535
349.015,0.9044,349.015,0,349.015,0
349.2277,-1.5132,349.2277,-0.3234,349.2277,0
349.4405,0.16,349.4405,-0.0265,349.4405,-0.1693
349.6532,0,349.6532,-0.3548,349.6532,0.3082
349.866,0.3563,349.866,0.4486,349.866,0.1434
350.0787,0.3581,350.0787,0.4797,350.0787,0.1197
350.2914,0.3715,350.2914,0.4665,350.2914,0.1593
350.5041,0.3233,350.5041,0.4519,350.5041,0.1574
350.7168,0.3305,350.7168,0.4119,350.7168,0.151
350.9295,0.4396,350.9295,0.3671,350.9295,0.1905
351.1421,0.3679,351.1421,0.4392,351.1421,0.1405
351.3548,0.3621,351.3548,0.4183,351.3548,0.1435
351.5675,0.3393,351.5675,0.4152,351.5675,0.1631
351.7801,0.295,351.7801,0.4244,351.7801,0.148
351.9927,0.3354,351.9927,0.5039,351.9927,0.1342
352.2053,0.3557,352.2053,0.449,352.2053,0.1533
352.418,0.3519,352.418,0.4121,352.418,0.1486
352.6306,0.3417,352.6306,0.4557,352.6306,0.1414
352.8432,0.3633,352.8432,0.4564,352.8432,0.1168
353.0557,0.3312,353.0557,0.3994,353.0557,0.1426
353.2683,0.3219,353.2683,0.4196,353.2683,0.131
353.4809,0.3634,353.4809,0.5702,353.4809,0.1166
353.6934,0.3521,353.6934,0.42,353.6934,0.1668
353.906,0.3525,353.906,0.4801,353.906,0.1222
354.1185,0.3446,354.1185,0.4394,354.1185,0.1377
354.331,0.3564,354.331,0.4362,354.331,0.1149
354.5435,0.3836,354.5435,0.442,354.5435,0.1071
354.756,0.347,354.756,0.468,354.756,0.1495
354.9685,0.3751,354.9685,0.4325,354.9685,0.1405
355.181,0.3703,355.181,0.497,355.181,0.1403
355.3935,0.3559,355.3935,0.4359,355.3935,0.128
355.6059,0.3626,355.6059,0.4476,355.6059,0.1291
355.8184,0.3143,355.8184,0.4229,355.8184,0.1351
356.0308,0.3443,356.0308,0.4714,356.0308,0.1416
356.2433,0.3871,356.2433,0.4301,356.2433,0.1491
356.4557,0.3214,356.4557,0.4069,356.4557,0.1123
356.6681,0.358,356.6681,0.3972,356.6681,0.1747
356.8805,0.3624,356.8805,0.4014,356.8805,0.1526
357.0929,0.319,357.0929,0.4819,357.0929,0.1507
357.3053,0.3314,357.3053,0.3827,357.3053,0.1127
357.5176,0.3393,357.5176,0.4243,357.5176,0.1235
357.73,0.3157,357.73,0.4274,357.73,0.1372
357.9424,0.3391,357.9424,0.4751,357.9424,0.1236
358.1547,0.3352,358.1547,0.4487,358.1547,0.1383
358.367,0.3209,358.367,0.4569,358.367,0.1384
358.5793,0.3699,358.5793,0.4173,358.5793,0.1203
358.7917,0.3012,358.7917,0.4948,358.7917,0.1446
359.004,0.3404,359.004,0.443,359.004,0.1669
359.2162,0.3724,359.2162,0.4097,359.2162,0.1503
359.4285,0.336,359.4285,0.4583,359.4285,0.1351
359.6408,0.3643,359.6408,0.4092,359.6408,0.1328
359.8531,0.3785,359.8531,0.4488,359.8531,0.1411
360.0653,0.3544,360.0653,0.4774,360.0653,0.138
360.2776,0.3445,360.2776,0.4621,360.2776,0.149
360.4898,0.3312,360.4898,0.5187,360.4898,0.1142
360.702,0.3638,360.702,0.4563,360.702,0.1452
360.9142,0.3309,360.9142,0.4253,360.9142,0.157
361.1264,0.3687,361.1264,0.4173,361.1264,0.1131
361.3386,0.3403,361.3386,0.4476,361.3386,0.1483
361.5508,0.3284,361.5508,0.401,361.5508,0.1241
361.763,0.3959,361.763,0.443,361.763,0.1472
361.9751,0.3326,361.9751,0.4597,361.9751,0.1417
362.1873,0.3315,362.1873,0.4895,362.1873,0.1245
362.3994,0.3501,362.3994,0.4041,362.3994,0.165
362.6115,0.3331,362.6115,0.453,362.6115,0.1502
362.8237,0.3192,362.8237,0.4944,362.8237,0.1646
363.0358,0.4114,363.0358,0.4727,363.0358,0.1474
363.2479,0.3603,363.2479,0.422,363.2479,0.129
363.46,0.374,363.46,0.4792,363.46,0.1302
363.672,0.3305,363.672,0.4542,363.672,0.1551
363.8841,0.4013,363.8841,0.4477,363.8841,0.1381
364.0962,0.3692,364.0962,0.3909,364.0962,0.1554
364.3082,0.3719,364.3082,0.5157,364.3082,0.1388
364.5202,0.3842,364.5202,0.4416,364.5202,0.1442
364.7323,0.3761,364.7323,0.4646,364.7323,0.1104
364.9443,0.3478,364.9443,0.4647,364.9443,0.1441
365.1563,0.3307,365.1563,0.417,365.1563,0.1209
365.3683,0.3237,365.3683,0.4268,365.3683,0.1389
365.5803,0.3588,365.5803,0.4766,365.5803,0.1242
365.7923,0.365,365.7923,0.4627,365.7923,0.1345
366.0042,0.3539,366.0042,0.4218,366.0042,0.1352
366.2162,0.3628,366.2162,0.4444,366.2162,0.1497
366.4281,0.331,366.4281,0.4522,366.4281,0.1464
366.6401,0.3636,366.6401,0.4366,366.6401,0.132
366.852,0.3415,366.852,0.4231,366.852,0.1485
367.0639,0.3663,367.0639,0.4602,367.0639,0.1301
367.2758,0.3371,367.2758,0.4875,367.2758,0.1321
367.4877,0.3493,367.4877,0.4587,367.4877,0.1292
367.6996,0.351,367.6996,0.4597,367.6996,0.1347
367.9115,0.3552,367.9115,0.4864,367.9115,0.1361
368.1234,0.3561,368.1234,0.4474,368.1234,0.1435
368.3352,0.3443,368.3352,0.4617,368.3352,0.1562
368.5471,0.3505,368.5471,0.4602,368.5471,0.1156
368.7589,0.3635,368.7589,0.4606,368.7589,0.1118
368.9707,0.3477,368.9707,0.4898,368.9707,0.1366
369.1825,0.3647,369.1825,0.464,369.1825,0.1216
369.3943,0.3565,369.3943,0.4064,369.3943,0.1428
369.6061,0.3784,369.6061,0.4747,369.6061,0.1549
369.8179,0.3656,369.8179,0.4149,369.8179,0.1336
370.0297,0.3395,370.0297,0.4534,370.0297,0.1335
370.2415,0.3609,370.2415,0.4453,370.2415,0.1318
370.4532,0.3291,370.4532,0.4882,370.4532,0.1243
370.665,0.3514,370.665,0.4592,370.665,0.1399
370.8767,0.3644,370.8767,0.4369,370.8767,0.1327
371.0884,0.3457,371.0884,0.4704,371.0884,0.1225
371.3001,0.3289,371.3001,0.4631,371.3001,0.1386
371.5118,0.3521,371.5118,0.4465,371.5118,0.1353
371.7235,0.3191,371.7235,0.4236,371.7235,0.134
371.9352,0.3647,371.9352,0.4208,371.9352,0.1186
372.1469,0.3538,372.1469,0.4326,372.1469,0.1339
372.3585,0.3644,372.3585,0.465,372.3585,0.1228
372.5702,0.3907,372.5702,0.4376,372.5702,0.1223
372.7818,0.3441,372.7818,0.4792,372.7818,0.1334
372.9935,0.3357,372.9935,0.4744,372.9935,0.1152
373.2051,0.3688,373.2051,0.527,373.2051,0.1323
373.4167,0.3532,373.4167,0.4765,373.4167,0.1253
373.6283,0.3918,373.6283,0.4503,373.6283,0.137
373.8399,0.3515,373.8399,0.467,373.8399,0.1111
374.0515,0.3546,374.0515,0.4618,374.0515,0.1411
