WavelengthBeforeRxn,AbsorbanceBeforeRxn,WavelengthAfterRxn,AbsorbanceAfterRxn,WavelengthAfterPurification,AbsorbanceAfterPurification
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,3x Purification,3x Purification
368.3352,0.4248,368.3352,0.4024,368.3352,0.2628
368.5471,0.3796,368.5471,0.3927,368.5471,0.2912
368.7589,0.4333,368.7589,0.3706,368.7589,0.296
368.9707,0.4152,368.9707,0.3678,368.9707,0.2513
369.1825,0.4077,369.1825,0.3608,369.1825,0.2937
369.3943,0.4413,369.3943,0.3596,369.3943,0.2689
369.6061,0.4209,369.6061,0.3842,369.6061,0.2734
369.8179,0.4011,369.8179,0.4259,369.8179,0.3111
370.0297,0.4168,370.0297,0.3734,370.0297,0.2695
370.2415,0.4057,370.2415,0.363,370.2415,0.283
370.4532,0.4195,370.4532,0.3662,370.4532,0.2864
370.665,0.4377,370.665,0.3578,370.665,0.2774
370.8767,0.4194,370.8767,0.3842,370.8767,0.2695
371.0884,0.4054,371.0884,0.3596,371.0884,0.2706
371.3001,0.4288,371.3001,0.3612,371.3001,0.2756
371.5118,0.413,371.5118,0.3712,371.5118,0.303
371.7235,0.4292,371.7235,0.3542,371.7235,0.2756
371.9352,0.4279,371.9352,0.3792,371.9352,0.27
372.1469,0.4164,372.1469,0.3373,372.1469,0.2689
372.3585,0.388,372.3585,0.3819,372.3585,0.2589
372.5702,0.3998,372.5702,0.3698,372.5702,0.2675
372.7818,0.425,372.7818,0.3661,372.7818,0.2857
372.9935,0.3835,372.9935,0.3746,372.9935,0.2996
373.2051,0.4028,373.2051,0.3597,373.2051,0.2723
373.4167,0.4221,373.4167,0.3947,373.4167,0.2713
373.6283,0.4047,373.6283,0.3743,373.6283,0.2819
373.8399,0.4112,373.8399,0.3725,373.8399,0.2841
374.0515,0.4213,374.0515,0.3383,374.0515,0.2554
374.263,0.3867,374.263,0.3851,374.263,0.2924
374.4746,0.3867,374.4746,0.3703,374.4746,0.2503
374.6862,0.3933,374.6862,0.3857,374.6862,0.2528
374.8977,0.4293,374.8977,0.3774,374.8977,0.2693
375.1092,0.4015,375.1092,0.3585,375.1092,0.2753
375.3207,0.3956,375.3207,0.365,375.3207,0.2759
375.5323,0.4272,375.5323,0.3719,375.5323,0.2996
375.7438,0.4094,375.7438,0.3765,375.7438,0.2764
375.9552,0.3839,375.9552,0.3695,375.9552,0.2706
376.1667,0.3863,376.1667,0.3526,376.1667,0.3876
376.3782,0.3866,376.3782,0.3504,376.3782,0.2552
376.5896,0.4277,376.5896,0.3572,376.5896,0.2902
376.8011,0.4237,376.8011,0.3603,376.8011,0.2601
377.0125,0.4231,377.0125,0.3907,377.0125,0.2888
377.224,0.4109,377.224,0.3631,377.224,0.2845
377.4354,0.4463,377.4354,0.3738,377.4354,0.2653
377.6468,0.4199,377.6468,0.3725,377.6468,0.2725
377.8582,0.438,377.8582,0.3921,377.8582,0.2949
378.0696,0.4347,378.0696,0.3674,378.0696,0.2861
378.2809,0.4431,378.2809,0.3806,378.2809,0.283
378.4923,0.4048,378.4923,0.3818,378.4923,0.285
378.7037,0.4136,378.7037,0.3661,378.7037,0.2803
378.915,0.4262,378.915,0.4098,378.915,0.2602
379.1263,0.418,379.1263,0.3729,379.1263,0.269
379.3377,0.3943,379.3377,0.3663,379.3377,0.2595
379.549,0.4473,379.549,0.3814,379.549,0.2534
379.7603,0.4415,379.7603,0.3631,379.7603,0.2646
379.9716,0.4421,379.9716,0.3665,379.9716,0.2705
380.1829,0.4352,380.1829,0.3842,380.1829,0.2813
380.3941,0.4248,380.3941,0.3836,380.3941,0.2551
380.6054,0.4289,380.6054,0.3591,380.6054,0.2854
380.8166,0.4527,380.8166,0.3924,380.8166,0.2622
381.0279,0.4188,381.0279,0.3755,381.0279,0.2505
381.2391,0.4238,381.2391,0.3943,381.2391,0.2706
381.4503,0.4558,381.4503,0.3682,381.4503,0.2727
381.6615,0.4297,381.6615,0.3904,381.6615,0.2747
381.8727,0.4376,381.8727,0.3852,381.8727,0.2826
382.0839,0.4387,382.0839,0.3838,382.0839,0.2831
382.2951,0.4506,382.2951,0.4069,382.2951,0.2692
382.5063,0.4674,382.5063,0.3951,382.5063,0.2722
382.7174,0.4476,382.7174,0.3775,382.7174,0.2663
382.9286,0.441,382.9286,0.368,382.9286,0.2646
383.1397,0.4497,383.1397,0.3902,383.1397,0.2617
383.3509,0.4687,383.3509,0.3703,383.3509,0.2821
383.562,0.4448,383.562,0.384,383.562,0.2718
383.7731,0.4493,383.7731,0.3749,383.7731,0.2645
383.9842,0.4478,383.9842,0.3793,383.9842,0.2627
384.1953,0.465,384.1953,0.3922,384.1953,0.255
384.4063,0.4433,384.4063,0.3814,384.4063,0.263
384.6174,0.4434,384.6174,0.3864,384.6174,0.2702
384.8285,0.4528,384.8285,0.3877,384.8285,0.2669
385.0395,0.4394,385.0395,0.4044,385.0395,0.262
385.2505,0.4661,385.2505,0.3921,385.2505,0.2567
385.4616,0.4343,385.4616,0.3701,385.4616,0.2615
385.6726,0.4447,385.6726,0.381,385.6726,0.2695
385.8836,0.4551,385.8836,0.3907,385.8836,0.2654
386.0946,0.453,386.0946,0.3836,386.0946,0.2689
386.3056,0.4374,386.3056,0.3812,386.3056,0.2706
386.5165,0.4424,386.5165,0.3843,386.5165,0.2683
386.7275,0.4521,386.7275,0.3813,386.7275,0.2796
386.9384,0.4569,386.9384,0.3864,386.9384,0.2642
387.1494,0.4513,387.1494,0.3801,387.1494,0.2677
387.3603,0.452,387.3603,0.3889,387.3603,0.2654
387.5712,0.4442,387.5712,0.3918,387.5712,0.2679
387.7822,0.4453,387.7822,0.38,387.7822,0.2731
387.9931,0.4539,387.9931,0.378,387.9931,0.2668
388.2039,0.4528,388.2039,0.387,388.2039,0.2778
388.4148,0.4535,388.4148,0.3887,388.4148,0.2672
388.6257,0.4496,388.6257,0.3869,388.6257,0.2624
388.8365,0.4594,388.8365,0.3797,388.8365,0.2627
389.0474,0.4583,389.0474,0.3864,389.0474,0.2555
389.2582,0.4516,389.2582,0.3808,389.2582,0.2643
389.4691,0.4586,389.4691,0.3804,389.4691,0.2695
389.6799,0.4606,389.6799,0.3888,389.6799,0.2707
389.8907,0.4566,389.8907,0.3817,389.8907,0.2662
390.1015,0.4549,390.1015,0.3858,390.1015,0.2685
390.3123,0.4537,390.3123,0.3896,390.3123,0.2649
390.523,0.4504,390.523,0.3848,390.523,0.2622
390.7338,0.457,390.7338,0.3887,390.7338,0.2661
390.9446,0.4605,390.9446,0.3858,390.9446,0.2608
391.1553,0.4708,391.1553,0.3847,391.1553,0.2651
391.366,0.4612,391.366,0.3755,391.366,0.2669
391.5768,0.4637,391.5768,0.3826,391.5768,0.265
391.7875,0.4667,391.7875,0.3903,391.7875,0.2666
391.9982,0.4648,391.9982,0.3873,391.9982,0.2656
392.2089,0.4613,392.2089,0.3835,392.2089,0.2645
392.4195,0.4698,392.4195,0.3844,392.4195,0.2632
392.6302,0.4656,392.6302,0.3869,392.6302,0.2651
392.8409,0.464,392.8409,0.3892,392.8409,0.2663
393.0515,0.466,393.0515,0.3926,393.0515,0.2649
393.2622,0.4622,393.2622,0.3853,393.2622,0.2647
393.4728,0.4703,393.4728,0.3985,393.4728,0.2673
393.6834,0.4653,393.6834,0.3838,393.6834,0.2634
393.894,0.4679,393.894,0.3883,393.894,0.2664
394.1046,0.4715,394.1046,0.383,394.1046,0.2663
394.3152,0.4642,394.3152,0.3918,394.3152,0.2613
394.5258,0.4621,394.5258,0.3913,394.5258,0.2649
394.7363,0.4679,394.7363,0.3909,394.7363,0.2657
394.9469,0.4587,394.9469,0.3865,394.9469,0.2606
395.1574,0.4648,395.1574,0.387,395.1574,0.2604
395.368,0.4697,395.368,0.3846,395.368,0.2653
395.5785,0.4732,395.5785,0.3865,395.5785,0.2647
395.789,0.4712,395.789,0.3863,395.789,0.2668
395.9995,0.4737,395.9995,0.3874,395.9995,0.2632
396.21,0.4682,396.21,0.3935,396.21,0.2633
396.4205,0.4677,396.4205,0.3937,396.4205,0.2651
396.631,0.4708,396.631,0.3908,396.631,0.2627
396.8414,0.4664,396.8414,0.3881,396.8414,0.2669
397.0519,0.4661,397.0519,0.389,397.0519,0.2661
397.2623,0.468,397.2623,0.3914,397.2623,0.2632
397.4727,0.4664,397.4727,0.3877,397.4727,0.2642
397.6832,0.4612,397.6832,0.3868,397.6832,0.2645
397.8936,0.4646,397.8936,0.3895,397.8936,0.2672
398.104,0.4679,398.104,0.3921,398.104,0.2655
398.3143,0.4752,398.3143,0.3904,398.3143,0.2675
398.5247,0.47,398.5247,0.3867,398.5247,0.2657
398.7351,0.4699,398.7351,0.3901,398.7351,0.2604
398.9454,0.4658,398.9454,0.3933,398.9454,0.2628
399.1558,0.4736,399.1558,0.3897,399.1558,0.2643
399.3661,0.4701,399.3661,0.3914,399.3661,0.2613
399.5764,0.4714,399.5764,0.3904,399.5764,0.2655
399.7868,0.4717,399.7868,0.3877,399.7868,0.2693
399.9971,0.472,399.9971,0.3875,399.9971,0.2655
400.2074,0.4676,400.2074,0.3836,400.2074,0.2678
400.4176,0.4685,400.4176,0.3886,400.4176,0.2627
400.6279,0.476,400.6279,0.389,400.6279,0.2639
400.8382,0.4747,400.8382,0.3917,400.8382,0.2666
401.0484,0.474,401.0484,0.3925,401.0484,0.2651
401.2587,0.4712,401.2587,0.3899,401.2587,0.2632
401.4689,0.4705,401.4689,0.3883,401.4689,0.2703
401.6791,0.4713,401.6791,0.3892,401.6791,0.2681
401.8893,0.4742,401.8893,0.3897,401.8893,0.269
402.0995,0.4712,402.0995,0.3904,402.0995,0.2652
402.3097,0.4671,402.3097,0.3887,402.3097,0.2638
402.5199,0.4743,402.5199,0.3914,402.5199,0.2655
402.73,0.474,402.73,0.3889,402.73,0.2689
402.9402,0.4693,402.9402,0.3918,402.9402,0.2678
403.1503,0.4766,403.1503,0.3895,403.1503,0.272
403.3605,0.4732,403.3605,0.3864,403.3605,0.2675
403.5706,0.472,403.5706,0.3881,403.5706,0.2696
403.7807,0.4696,403.7807,0.3881,403.7807,0.2689
403.9908,0.475,403.9908,0.3879,403.9908,0.2694
404.2009,0.4752,404.2009,0.3885,404.2009,0.2673
404.411,0.4743,404.411,0.3873,404.411,0.2646
404.6211,0.4744,404.6211,0.3877,404.6211,0.266
404.8311,0.4746,404.8311,0.389,404.8311,0.2695
