WavelengthBeforeRxn,AbsorbanceBeforeRxn,WavelengthAfterRxn,AbsorbanceAfterRxn,WavelengthAfterPurification,AbsorbanceAfterPurification
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,3x Purification,3x Purification
443.507,0.4284,443.507,0.3495,443.507,0.24
443.7151,0.4289,443.7151,0.3495,443.7151,0.2397
443.9231,0.4296,443.9231,0.349,443.9231,0.2403
444.1311,0.4285,444.1311,0.3487,444.1311,0.2408
444.3392,0.4281,444.3392,0.3489,444.3392,0.2395
444.5472,0.4282,444.5472,0.3486,444.5472,0.2403
444.7551,0.4281,444.7551,0.3495,444.7551,0.2394
444.9631,0.428,444.9631,0.3479,444.9631,0.2401
445.1711,0.4266,445.1711,0.3479,445.1711,0.24
445.379,0.4269,445.379,0.3483,445.379,0.2396
445.587,0.4265,445.587,0.3491,445.587,0.2407
445.7949,0.4271,445.7949,0.3475,445.7949,0.2409
446.0028,0.4269,446.0028,0.3492,446.0028,0.2395
446.2107,0.4265,446.2107,0.3467,446.2107,0.2408
446.4186,0.4259,446.4186,0.3488,446.4186,0.2398
446.6265,0.4263,446.6265,0.3484,446.6265,0.2397
446.8344,0.4266,446.8344,0.3479,446.8344,0.2385
447.0423,0.4256,447.0423,0.3479,447.0423,0.2391
447.2501,0.4248,447.2501,0.3488,447.2501,0.2404
447.458,0.4247,447.458,0.3458,447.458,0.2391
447.6658,0.4259,447.6658,0.3486,447.6658,0.24
447.8736,0.4245,447.8736,0.3475,447.8736,0.2387
448.0814,0.425,448.0814,0.3471,448.0814,0.2388
448.2892,0.4243,448.2892,0.3474,448.2892,0.239
448.497,0.4225,448.497,0.3466,448.497,0.2396
448.7048,0.4227,448.7048,0.347,448.7048,0.2398
448.9126,0.4233,448.9126,0.3467,448.9126,0.2405
449.1203,0.4242,449.1203,0.3462,449.1203,0.2395
449.3281,0.4223,449.3281,0.3478,449.3281,0.2385
449.5358,0.4234,449.5358,0.3467,449.5358,0.2392
449.7435,0.4228,449.7435,0.3469,449.7435,0.2388
449.9512,0.4221,449.9512,0.3489,449.9512,0.2391
450.1589,0.4223,450.1589,0.3473,450.1589,0.2385
450.3666,0.4221,450.3666,0.3465,450.3666,0.2377
450.5743,0.4214,450.5743,0.3462,450.5743,0.2385
450.782,0.4213,450.782,0.3467,450.782,0.2392
450.9896,0.4216,450.9896,0.3467,450.9896,0.2392
451.1973,0.4215,451.1973,0.3455,451.1973,0.2392
451.4049,0.4209,451.4049,0.3468,451.4049,0.2391
451.6125,0.4228,451.6125,0.3454,451.6125,0.2396
451.8201,0.4211,451.8201,0.3457,451.8201,0.2373
452.0277,0.4204,452.0277,0.3453,452.0277,0.2384
452.2353,0.4197,452.2353,0.3462,452.2353,0.2385
452.4429,0.4221,452.4429,0.3463,452.4429,0.2381
452.6505,0.4205,452.6505,0.3448,452.6505,0.2388
452.858,0.4203,452.858,0.3452,452.858,0.2375
453.0656,0.4202,453.0656,0.3452,453.0656,0.2377
453.2731,0.4192,453.2731,0.3448,453.2731,0.2386
453.4806,0.4202,453.4806,0.3425,453.4806,0.2364
453.6881,0.4196,453.6881,0.3448,453.6881,0.2382
453.8956,0.4214,453.8956,0.3438,453.8956,0.2389
454.1031,0.4204,454.1031,0.3434,454.1031,0.238
454.3106,0.4193,454.3106,0.3446,454.3106,0.2371
454.5181,0.4207,454.5181,0.3442,454.5181,0.2368
454.7255,0.42,454.7255,0.3439,454.7255,0.2362
454.933,0.4191,454.933,0.344,454.933,0.2364
455.1404,0.4209,455.1404,0.3442,455.1404,0.2359
455.3478,0.417,455.3478,0.343,455.3478,0.2374
455.5552,0.4195,455.5552,0.3426,455.5552,0.236
455.7626,0.4179,455.7626,0.3431,455.7626,0.2368
455.97,0.4184,455.97,0.345,455.97,0.2351
456.1774,0.4185,456.1774,0.3439,456.1774,0.2357
456.3847,0.4187,456.3847,0.3431,456.3847,0.236
456.5921,0.4179,456.5921,0.3427,456.5921,0.2368
456.7994,0.4171,456.7994,0.3425,456.7994,0.2362
457.0068,0.4195,457.0068,0.3416,457.0068,0.2359
457.2141,0.4191,457.2141,0.3424,457.2141,0.2367
457.4214,0.4185,457.4214,0.3438,457.4214,0.2361
457.6287,0.4187,457.6287,0.3436,457.6287,0.2363
457.836,0.4182,457.836,0.3431,457.836,0.234
458.0432,0.4202,458.0432,0.3421,458.0432,0.2357
458.2505,0.4183,458.2505,0.3425,458.2505,0.2354
458.4578,0.4179,458.4578,0.3423,458.4578,0.2348
458.665,0.4172,458.665,0.3401,458.665,0.2348
458.8722,0.4186,458.8722,0.3416,458.8722,0.2357
459.0794,0.4185,459.0794,0.3418,459.0794,0.2351
459.2867,0.4157,459.2867,0.3421,459.2867,0.2358
459.4938,0.4163,459.4938,0.3422,459.4938,0.234
459.701,0.4175,459.701,0.3411,459.701,0.2347
459.9082,0.4181,459.9082,0.3413,459.9082,0.2354
460.1154,0.4172,460.1154,0.3423,460.1154,0.2354
460.3225,0.4168,460.3225,0.3423,460.3225,0.2345
460.5297,0.4158,460.5297,0.3412,460.5297,0.2339
460.7368,0.417,460.7368,0.3427,460.7368,0.2349
460.9439,0.4161,460.9439,0.3417,460.9439,0.2348
461.151,0.4161,461.151,0.3414,461.151,0.2332
461.3581,0.4167,461.3581,0.3407,461.3581,0.2364
461.5652,0.4158,461.5652,0.3429,461.5652,0.2336
461.7723,0.4134,461.7723,0.3404,461.7723,0.2335
461.9793,0.4146,461.9793,0.3403,461.9793,0.2327
462.1864,0.4148,462.1864,0.3413,462.1864,0.235
462.3934,0.4144,462.3934,0.3419,462.3934,0.2333
462.6004,0.4153,462.6004,0.3415,462.6004,0.2338
462.8074,0.4149,462.8074,0.3401,462.8074,0.2349
463.0144,0.4147,463.0144,0.3404,463.0144,0.2348
463.2214,0.4143,463.2214,0.341,463.2214,0.2331
463.4284,0.414,463.4284,0.3394,463.4284,0.2337
463.6354,0.4128,463.6354,0.3395,463.6354,0.2324
463.8423,0.4136,463.8423,0.3399,463.8423,0.2343
464.0493,0.4139,464.0493,0.3396,464.0493,0.2331
464.2562,0.414,464.2562,0.3397,464.2562,0.2334
464.4632,0.412,464.4632,0.3397,464.4632,0.2334
464.6701,0.4134,464.6701,0.3387,464.6701,0.2338
464.877,0.4131,464.877,0.3389,464.877,0.2335
465.0839,0.4135,465.0839,0.3394,465.0839,0.2333
465.2907,0.414,465.2907,0.3397,465.2907,0.2333
465.4976,0.4128,465.4976,0.3399,465.4976,0.2324
465.7045,0.4133,465.7045,0.3389,465.7045,0.2328
465.9113,0.4134,465.9113,0.3388,465.9113,0.2325
466.1181,0.4111,466.1181,0.3378,466.1181,0.231
466.325,0.4129,466.325,0.3375,466.325,0.2325
466.5318,0.4121,466.5318,0.3391,466.5318,0.2326
466.7386,0.4109,466.7386,0.339,466.7386,0.2323
466.9454,0.4133,466.9454,0.3383,466.9454,0.2325
467.1521,0.4115,467.1521,0.3396,467.1521,0.2326
467.3589,0.4127,467.3589,0.3385,467.3589,0.2331
467.5657,0.4117,467.5657,0.3396,467.5657,0.2317
467.7724,0.4119,467.7724,0.338,467.7724,0.2331
467.9791,0.4113,467.9791,0.3385,467.9791,0.2322
468.1859,0.4111,468.1859,0.3382,468.1859,0.2322
468.3926,0.4137,468.3926,0.3387,468.3926,0.2321
468.5993,0.4115,468.5993,0.3402,468.5993,0.2323
468.8059,0.4133,468.8059,0.3369,468.8059,0.2325
469.0126,0.4119,469.0126,0.3373,469.0126,0.2327
469.2193,0.4127,469.2193,0.3389,469.2193,0.2325
469.4259,0.4122,469.4259,0.3377,469.4259,0.2324
469.6326,0.4122,469.6326,0.3375,469.6326,0.233
469.8392,0.4121,469.8392,0.338,469.8392,0.2319
470.0458,0.4126,470.0458,0.3371,470.0458,0.2333
470.2524,0.4112,470.2524,0.3384,470.2524,0.2314
470.459,0.4118,470.459,0.3373,470.459,0.2316
470.6656,0.4132,470.6656,0.3383,470.6656,0.2321
470.8722,0.4117,470.8722,0.3372,470.8722,0.2314
471.0787,0.4114,471.0787,0.3383,471.0787,0.2323
471.2853,0.4128,471.2853,0.338,471.2853,0.2325
471.4918,0.4121,471.4918,0.3375,471.4918,0.2322
471.6984,0.4121,471.6984,0.3375,471.6984,0.2315
471.9049,0.4103,471.9049,0.3373,471.9049,0.2326
472.1114,0.412,472.1114,0.3363,472.1114,0.2304
472.3179,0.4125,472.3179,0.3386,472.3179,0.2303
472.5243,0.4115,472.5243,0.3371,472.5243,0.2294
472.7308,0.4135,472.7308,0.3368,472.7308,0.2313
472.9373,0.4132,472.9373,0.3369,472.9373,0.2318
473.1437,0.4122,473.1437,0.3366,473.1437,0.2304
473.3502,0.4124,473.3502,0.3373,473.3502,0.231
473.5566,0.4123,473.5566,0.3381,473.5566,0.2303
473.763,0.4126,473.763,0.3365,473.763,0.2301
473.9694,0.4118,473.9694,0.338,473.9694,0.2302
474.1758,0.4127,474.1758,0.3375,474.1758,0.2305
474.3822,0.412,474.3822,0.3374,474.3822,0.2306
474.5885,0.4129,474.5885,0.3376,474.5885,0.2303
474.7949,0.4122,474.7949,0.3383,474.7949,0.2312
475.0012,0.4114,475.0012,0.3374,475.0012,0.229
475.2076,0.4124,475.2076,0.3376,475.2076,0.2306
475.4139,0.4146,475.4139,0.3367,475.4139,0.2302
475.6202,0.413,475.6202,0.3381,475.6202,0.23
475.8265,0.4129,475.8265,0.3373,475.8265,0.2317
476.0328,0.4129,476.0328,0.3373,476.0328,0.2302
476.239,0.4146,476.239,0.3387,476.239,0.2301
476.4453,0.4156,476.4453,0.3366,476.4453,0.2297
476.6516,0.4144,476.6516,0.3377,476.6516,0.2305
476.8578,0.4132,476.8578,0.3382,476.8578,0.2311
477.064,0.4141,477.064,0.3377,477.064,0.2292
477.2702,0.4143,477.2702,0.3381,477.2702,0.2319
477.4765,0.4126,477.4765,0.3373,477.4765,0.2307
477.6826,0.4132,477.6826,0.3403,477.6826,0.2298
477.8888,0.4149,477.8888,0.3377,477.8888,0.2315
478.095,0.4147,478.095,0.3402,478.095,0.229
478.3012,0.4152,478.3012,0.3392,478.3012,0.2294
478.5073,0.4149,478.5073,0.3388,478.5073,0.2297
478.7134,0.4153,478.7134,0.3385,478.7134,0.2295
478.9196,0.4152,478.9196,0.3386,478.9196,0.2304
479.1257,0.417,479.1257,0.3392,479.1257,0.2322
479.3318,0.4165,479.3318,0.3403,479.3318,0.2308
479.5379,0.4158,479.5379,0.3394,479.5379,0.2295
479.744,0.4166,479.744,0.3419,479.744,0.2299
479.95,0.4158,479.95,0.3402,479.95,0.2306
480.1561,0.4171,480.1561,0.34,480.1561,0.2313
480.3621,0.4168,480.3621,0.3404,480.3621,0.2309
480.5682,0.4181,480.5682,0.341,480.5682,0.2308
480.7742,0.4158,480.7742,0.3417,480.7742,0.2299
480.9802,0.4186,480.9802,0.341,480.9802,0.2318
481.1862,0.4161,481.1862,0.3426,481.1862,0.2302
481.3922,0.419,481.3922,0.3414,481.3922,0.2305
481.5982,0.419,481.5982,0.3435,481.5982,0.2302
481.8041,0.4193,481.8041,0.3414,481.8041,0.2297
482.0101,0.4199,482.0101,0.3428,482.0101,0.231
482.216,0.4183,482.216,0.3426,482.216,0.231
482.4219,0.4204,482.4219,0.3437,482.4219,0.2314
482.6279,0.4206,482.6279,0.3425,482.6279,0.2314
482.8338,0.4191,482.8338,0.3438,482.8338,0.231
483.0397,0.4217,483.0397,0.3449,483.0397,0.2325
483.2455,0.4226,483.2455,0.3449,483.2455,0.2312
483.4514,0.4228,483.4514,0.3456,483.4514,0.232
483.6573,0.4217,483.6573,0.3455,483.6573,0.2317
483.8631,0.4249,483.8631,0.3457,483.8631,0.2318
484.069,0.424,484.069,0.347,484.069,0.2319
484.2748,0.4228,484.2748,0.3456,484.2748,0.2321
484.4806,0.4236,484.4806,0.3461,484.4806,0.2315
484.6864,0.4259,484.6864,0.3469,484.6864,0.2327
484.8922,0.4252,484.8922,0.3463,484.8922,0.2328
485.098,0.4254,485.098,0.3484,485.098,0.2326
485.3037,0.4267,485.3037,0.3478,485.3037,0.2326
485.5095,0.4262,485.5095,0.3484,485.5095,0.233
485.7152,0.4265,485.7152,0.3486,485.7152,0.2329
485.921,0.4267,485.921,0.3495,485.921,0.2328
486.1267,0.4264,486.1267,0.349,486.1267,0.233
486.3324,0.4275,486.3324,0.3501,486.3324,0.2331
486.5381,0.4287,486.5381,0.3495,486.5381,0.234
486.7438,0.4294,486.7438,0.3498,486.7438,0.2322
486.9495,0.4295,486.9495,0.3521,486.9495,0.2334
487.1551,0.4302,487.1551,0.3515,487.1551,0.2342
487.3608,0.4327,487.3608,0.3513,487.3608,0.2344
487.5664,0.4316,487.5664,0.3523,487.5664,0.2362
487.7721,0.4313,487.7721,0.3532,487.7721,0.2357
487.9777,0.4339,487.9777,0.3544,487.9777,0.236
488.1833,0.4341,488.1833,0.3542,488.1833,0.235
488.3889,0.4353,488.3889,0.3546,488.3889,0.2355
488.5945,0.4357,488.5945,0.3546,488.5945,0.236
488.8,0.4372,488.8,0.3555,488.8,0.2365
489.0056,0.4374,489.0056,0.3547,489.0056,0.2365
489.2111,0.4382,489.2111,0.3561,489.2111,0.237
489.4167,0.4379,489.4167,0.3587,489.4167,0.2364
489.6222,0.4383,489.6222,0.3579,489.6222,0.2362
489.8277,0.4398,489.8277,0.3569,489.8277,0.237
490.0332,0.4417,490.0332,0.3606,490.0332,0.2379
490.2387,0.4408,490.2387,0.3598,490.2387,0.2386
490.4442,0.4412,490.4442,0.3599,490.4442,0.2382
490.6496,0.4427,490.6496,0.3613,490.6496,0.238
490.8551,0.4423,490.8551,0.3617,490.8551,0.2393
491.0605,0.4445,491.0605,0.3631,491.0605,0.2387
491.266,0.4439,491.266,0.3632,491.266,0.2389
491.4714,0.4456,491.4714,0.3637,491.4714,0.2394
491.6768,0.4458,491.6768,0.3635,491.6768,0.2386
491.8822,0.4458,491.8822,0.3628,491.8822,0.2416
492.0876,0.4479,492.0876,0.3655,492.0876,0.2395
492.293,0.4499,492.293,0.3652,492.293,0.2408
492.4983,0.4495,492.4983,0.3672,492.4983,0.2403
492.7037,0.4495,492.7037,0.3668,492.7037,0.2431
492.909,0.4496,492.909,0.3678,492.909,0.2402
493.1143,0.4523,493.1143,0.3701,493.1143,0.2409
493.3196,0.4531,493.3196,0.3693,493.3196,0.2419
493.5249,0.4538,493.5249,0.3694,493.5249,0.2427
493.7302,0.4554,493.7302,0.371,493.7302,0.2431
493.9355,0.4542,493.9355,0.3698,493.9355,0.2439
494.1408,0.4566,494.1408,0.3723,494.1408,0.2432
494.346,0.4573,494.346,0.371,494.346,0.2443
494.5513,0.4578,494.5513,0.3736,494.5513,0.2449
494.7565,0.4576,494.7565,0.3735,494.7565,0.2445
494.9617,0.462,494.9617,0.3759,494.9617,0.2444
495.1669,0.4595,495.1669,0.3763,495.1669,0.2458
495.3721,0.46,495.3721,0.3752,495.3721,0.2458
495.5773,0.4635,495.5773,0.3763,495.5773,0.2449
495.7825,0.4641,495.7825,0.3764,495.7825,0.2445
495.9877,0.4639,495.9877,0.3797,495.9877,0.2465
496.1928,0.4644,496.1928,0.3755,496.1928,0.2462
496.398,0.4669,496.398,0.3787,496.398,0.2481
496.6031,0.4692,496.6031,0.3805,496.6031,0.2487
496.8082,0.4699,496.8082,0.3811,496.8082,0.2483
497.0133,0.4695,497.0133,0.3817,497.0133,0.248
497.2184,0.4702,497.2184,0.384,497.2184,0.2498
497.4235,0.4713,497.4235,0.3847,497.4235,0.2503
497.6285,0.4719,497.6285,0.3857,497.6285,0.2492
497.8336,0.4733,497.8336,0.3833,497.8336,0.2512
498.0386,0.4737,498.0386,0.3855,498.0386,0.2511
498.2437,0.4756,498.2437,0.3864,498.2437,0.2504
498.4487,0.4752,498.4487,0.3875,498.4487,0.2504
498.6537,0.4776,498.6537,0.389,498.6537,0.2517
498.8587,0.4784,498.8587,0.388,498.8587,0.2517
499.0637,0.4765,499.0637,0.3884,499.0637,0.2513
499.2687,0.4783,499.2687,0.391,499.2687,0.2524
499.4736,0.4806,499.4736,0.3892,499.4736,0.2528
499.6786,0.4816,499.6786,0.3924,499.6786,0.254
499.8835,0.4818,499.8835,0.3918,499.8835,0.2532
500.0885,0.4827,500.0885,0.3925,500.0885,0.2551
500.2934,0.4825,500.2934,0.3933,500.2934,0.2545
500.4983,0.4846,500.4983,0.3942,500.4983,0.2542
500.7032,0.4849,500.7032,0.3957,500.7032,0.2553
500.908,0.4873,500.908,0.3966,500.908,0.256
501.1129,0.4868,501.1129,0.3977,501.1129,0.2555
501.3178,0.4887,501.3178,0.3965,501.3178,0.2554
501.5226,0.4884,501.5226,0.3982,501.5226,0.2575
501.7275,0.4892,501.7275,0.3999,501.7275,0.2565
501.9323,0.4909,501.9323,0.4006,501.9323,0.2579
502.1371,0.4893,502.1371,0.4003,502.1371,0.2582
502.3419,0.4915,502.3419,0.4029,502.3419,0.2582
502.5467,0.4917,502.5467,0.4017,502.5467,0.2576
502.7514,0.4939,502.7514,0.4047,502.7514,0.2593
502.9562,0.4936,502.9562,0.4017,502.9562,0.2599
503.161,0.4944,503.161,0.4034,503.161,0.2603
503.3657,0.4947,503.3657,0.4051,503.3657,0.2607
503.5704,0.4966,503.5704,0.4056,503.5704,0.2614
503.7751,0.4985,503.7751,0.4038,503.7751,0.2616
503.9798,0.4965,503.9798,0.4061,503.9798,0.2623
504.1845,0.4976,504.1845,0.4075,504.1845,0.2605
504.3892,0.4966,504.3892,0.4063,504.3892,0.2631
504.5939,0.4995,504.5939,0.4085,504.5939,0.263
504.7985,0.5007,504.7985,0.4093,504.7985,0.261
505.0032,0.5015,505.0032,0.4088,505.0032,0.2624
505.2078,0.5022,505.2078,0.4096,505.2078,0.2626
505.4124,0.5034,505.4124,0.409,505.4124,0.2636
505.6171,0.5031,505.6171,0.4118,505.6171,0.2626
505.8216,0.5017,505.8216,0.4105,505.8216,0.2636
506.0262,0.503,506.0262,0.4132,506.0262,0.2652
506.2308,0.5041,506.2308,0.4139,506.2308,0.2642
506.4354,0.5071,506.4354,0.4116,506.4354,0.2645
506.6399,0.5039,506.6399,0.4139,506.6399,0.2652
506.8445,0.5085,506.8445,0.4138,506.8445,0.2665
507.049,0.506,507.049,0.4138,507.049,0.2656
507.2535,0.5056,507.2535,0.4137,507.2535,0.2649
507.458,0.5046,507.458,0.4153,507.458,0.2664
507.6625,0.5087,507.6625,0.4143,507.6625,0.2659
507.867,0.5069,507.867,0.4164,507.867,0.266
508.0714,0.5079,508.0714,0.4168,508.0714,0.2662
508.2759,0.508,508.2759,0.4167,508.2759,0.2676
508.4803,0.5081,508.4803,0.4156,508.4803,0.2687
508.6848,0.5061,508.6848,0.4172,508.6848,0.2679
508.8892,0.5066,508.8892,0.4161,508.8892,0.2682
509.0936,0.5102,509.0936,0.4163,509.0936,0.2684
509.298,0.5093,509.298,0.4162,509.298,0.2692
509.5024,0.5101,509.5024,0.4175,509.5024,0.2687
509.7068,0.5085,509.7068,0.4181,509.7068,0.2684
509.9111,0.5083,509.9111,0.4192,509.9111,0.2687
510.1155,0.5096,510.1155,0.4163,510.1155,0.27
510.3198,0.5094,510.3198,0.4186,510.3198,0.2676
510.5241,0.5079,510.5241,0.4217,510.5241,0.2694
510.7284,0.5116,510.7284,0.4185,510.7284,0.2678
510.9327,0.5114,510.9327,0.4209,510.9327,0.2695
511.137,0.5085,511.137,0.4199,511.137,0.2695
511.3413,0.5101,511.3413,0.4188,511.3413,0.2721
511.5456,0.5103,511.5456,0.4204,511.5456,0.2696
511.7498,0.5096,511.7498,0.4189,511.7498,0.2715
511.9541,0.5094,511.9541,0.4205,511.9541,0.2707
512.1583,0.5096,512.1583,0.4215,512.1583,0.2705
512.3625,0.5118,512.3625,0.4175,512.3625,0.2707
512.5667,0.508,512.5667,0.4185,512.5667,0.2702
512.7709,0.5098,512.7709,0.4198,512.7709,0.2731
512.9751,0.5107,512.9751,0.4203,512.9751,0.2717
513.1793,0.5099,513.1793,0.4198,513.1793,0.2719
513.3834,0.5095,513.3834,0.4205,513.3834,0.2715
513.5876,0.5115,513.5876,0.4219,513.5876,0.271
513.7917,0.5079,513.7917,0.4219,513.7917,0.2718
513.9958,0.5083,513.9958,0.4195,513.9958,0.2725
514.1999,0.5088,514.1999,0.4207,514.1999,0.2713
514.404,0.5095,514.404,0.4216,514.404,0.273
514.6081,0.5096,514.6081,0.4209,514.6081,0.2715
514.8122,0.5086,514.8122,0.4194,514.8122,0.2725
515.0163,0.51,515.0163,0.4206,515.0163,0.2712
515.2203,0.5083,515.2203,0.4206,515.2203,0.2736
515.4244,0.5078,515.4244,0.4192,515.4244,0.2724
515.6284,0.5061,515.6284,0.4191,515.6284,0.272
515.8324,0.5045,515.8324,0.4202,515.8324,0.2719
516.0364,0.5073,516.0364,0.4205,516.0364,0.2741
516.2404,0.5068,516.2404,0.4204,516.2404,0.2728
516.4444,0.5057,516.4444,0.4196,516.4444,0.2732
516.6483,0.5041,516.6483,0.4216,516.6483,0.2728
516.8523,0.505,516.8523,0.4218,516.8523,0.2717
517.0562,0.5047,517.0562,0.4215,517.0562,0.2725
517.2602,0.5052,517.2602,0.4192,517.2602,0.2718
517.4641,0.5027,517.4641,0.4186,517.4641,0.2711
517.668,0.5053,517.668,0.4211,517.668,0.2717
517.8719,0.5036,517.8719,0.4199,517.8719,0.2734
518.0758,0.5017,518.0758,0.42,518.0758,0.2729
518.2796,0.5032,518.2796,0.4198,518.2796,0.2729
518.4835,0.5005,518.4835,0.4172,518.4835,0.2713
518.6873,0.4988,518.6873,0.4193,518.6873,0.2743
518.8912,0.5023,518.8912,0.4205,518.8912,0.2721
519.095,0.4985,519.095,0.4161,519.095,0.2728
519.2988,0.5014,519.2988,0.4183,519.2988,0.2729
519.5026,0.4984,519.5026,0.4175,519.5026,0.272
519.7064,0.4968,519.7064,0.4184,519.7064,0.272
519.9102,0.4984,519.9102,0.419,519.9102,0.2712
520.1139,0.4978,520.1139,0.4186,520.1139,0.2725
520.3177,0.4961,520.3177,0.4185,520.3177,0.2727
520.5214,0.4984,520.5214,0.4165,520.5214,0.2731
520.7252,0.4975,520.7252,0.4148,520.7252,0.2716
520.9289,0.4953,520.9289,0.416,520.9289,0.2709
521.1326,0.4935,521.1326,0.4164,521.1326,0.2712
521.3363,0.4952,521.3363,0.4148,521.3363,0.272
521.54,0.4922,521.54,0.414,521.54,0.2734
521.7436,0.492,521.7436,0.4145,521.7436,0.272
521.9473,0.4925,521.9473,0.4146,521.9473,0.2725
522.1509,0.4902,522.1509,0.4134,522.1509,0.2693
522.3546,0.4883,522.3546,0.415,522.3546,0.2706
522.5582,0.4899,522.5582,0.4156,522.5582,0.2716
522.7618,0.49,522.7618,0.4139,522.7618,0.2694
522.9654,0.4898,522.9654,0.4114,522.9654,0.2709
523.169,0.4869,523.169,0.4117,523.169,0.2715
523.3725,0.4881,523.3725,0.4107,523.3725,0.2701
523.5761,0.4853,523.5761,0.4109,523.5761,0.2708
523.7796,0.4846,523.7796,0.4116,523.7796,0.2704
523.9832,0.4834,523.9832,0.4111,523.9832,0.2706
524.1867,0.4822,524.1867,0.4118,524.1867,0.2708
524.3902,0.4821,524.3902,0.4089,524.3902,0.2696
524.5937,0.4834,524.5937,0.4084,524.5937,0.2686
524.7972,0.482,524.7972,0.409,524.7972,0.269
525.0007,0.4789,525.0007,0.408,525.0007,0.2677
525.2041,0.4802,525.2041,0.4108,525.2041,0.2701
525.4076,0.4822,525.4076,0.4094,525.4076,0.2688
525.611,0.4783,525.611,0.4096,525.611,0.2681
525.8144,0.478,525.8144,0.41,525.8144,0.2687
526.0179,0.4782,526.0179,0.4071,526.0179,0.268
526.2213,0.4771,526.2213,0.406,526.2213,0.2693
526.4246,0.4747,526.4246,0.4087,526.4246,0.2697
526.628,0.4747,526.628,0.408,526.628,0.268
526.8314,0.4736,526.8314,0.4057,526.8314,0.2683
527.0347,0.4711,527.0347,0.4046,527.0347,0.2671
527.2381,0.474,527.2381,0.4048,527.2381,0.2681
527.4414,0.4707,527.4414,0.4061,527.4414,0.2666
527.6447,0.4707,527.6447,0.4038,527.6447,0.2674
527.848,0.47,527.848,0.4033,527.848,0.267
528.0513,0.4701,528.0513,0.4045,528.0513,0.2663
528.2546,0.4681,528.2546,0.4011,528.2546,0.2664
528.4579,0.4678,528.4579,0.4009,528.4579,0.2674
528.6611,0.468,528.6611,0.4001,528.6611,0.2662
528.8644,0.4655,528.8644,0.4003,528.8644,0.2663
529.0676,0.4643,529.0676,0.4004,529.0676,0.264
529.2708,0.4635,529.2708,0.401,529.2708,0.267
529.474,0.4628,529.474,0.3985,529.474,0.2662
529.6772,0.4599,529.6772,0.3988,529.6772,0.2664
529.8804,0.4605,529.8804,0.3996,529.8804,0.2651
530.0836,0.458,530.0836,0.3981,530.0836,0.2645
530.2868,0.4579,530.2868,0.3986,530.2868,0.2628
530.4899,0.459,530.4899,0.3953,530.4899,0.2655
530.693,0.4593,530.693,0.3931,530.693,0.2653
530.8962,0.4557,530.8962,0.3931,530.8962,0.2624
531.0993,0.4547,531.0993,0.3949,531.0993,0.265
531.3024,0.4561,531.3024,0.3949,531.3024,0.2626
531.5055,0.4541,531.5055,0.3928,531.5055,0.2623
531.7085,0.455,531.7085,0.3919,531.7085,0.2622
531.9116,0.4518,531.9116,0.3924,531.9116,0.2619
532.1147,0.4487,532.1147,0.3917,532.1147,0.2599
532.3177,0.4455,532.3177,0.3912,532.3177,0.2631
532.5207,0.4485,532.5207,0.3889,532.5207,0.2609
532.7237,0.448,532.7237,0.392,532.7237,0.2595
532.9267,0.4512,532.9267,0.3915,532.9267,0.258
533.1297,0.4446,533.1297,0.3884,533.1297,0.2595
533.3327,0.4453,533.3327,0.3883,533.3327,0.2598
533.5357,0.4435,533.5357,0.3873,533.5357,0.2603
533.7386,0.4437,533.7386,0.3856,533.7386,0.2613
533.9416,0.4436,533.9416,0.3853,533.9416,0.2587
534.1445,0.4416,534.1445,0.3821,534.1445,0.2589
534.3474,0.4403,534.3474,0.3838,534.3474,0.2583
534.5503,0.437,534.5503,0.3847,534.5503,0.2578
534.7532,0.4372,534.7532,0.3824,534.7532,0.2582
534.9561,0.4373,534.9561,0.3831,534.9561,0.2583
535.159,0.4378,535.159,0.382,535.159,0.2559
535.3618,0.4345,535.3618,0.3809,535.3618,0.2579
535.5647,0.434,535.5647,0.382,535.5647,0.2541
535.7675,0.4317,535.7675,0.3768,535.7675,0.2564
535.9703,0.4316,535.9703,0.3778,535.9703,0.2552
536.1731,0.4318,536.1731,0.378,536.1731,0.2538
536.3759,0.4289,536.3759,0.3773,536.3759,0.2558
536.5787,0.4317,536.5787,0.3761,536.5787,0.2531
536.7815,0.4263,536.7815,0.3758,536.7815,0.2535
536.9842,0.4279,536.9842,0.3734,536.9842,0.2517
537.187,0.4259,537.187,0.3725,537.187,0.2528
537.3897,0.4261,537.3897,0.3742,537.3897,0.252
537.5924,0.4232,537.5924,0.3718,537.5924,0.2514
537.7951,0.4224,537.7951,0.3716,537.7951,0.2523
537.9978,0.418,537.9978,0.3713,537.9978,0.2521
538.2005,0.4195,538.2005,0.3686,538.2005,0.2526
538.4032,0.4216,538.4032,0.3689,538.4032,0.2506
538.6058,0.4168,538.6058,0.3669,538.6058,0.2515
538.8085,0.4183,538.8085,0.3677,538.8085,0.2498
539.0111,0.4183,539.0111,0.3632,539.0111,0.2486
539.2138,0.4164,539.2138,0.3637,539.2138,0.2488
539.4164,0.4137,539.4164,0.3639,539.4164,0.2473
539.619,0.4132,539.619,0.3616,539.619,0.2502
539.8216,0.4128,539.8216,0.3623,539.8216,0.2474
540.0241,0.4115,540.0241,0.3632,540.0241,0.2489
