Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reacton,After Reaction,4x Purification,4x Purification
346.0353,0,346.0353,0,346.0353,-0.553
346.2482,0,346.2482,0,346.2482,-0.553
346.4611,0,346.4611,0,346.4611,-0.553
346.674,0,346.674,0,346.674,0
346.8868,0,346.8868,0,346.8868,0
347.0997,0,347.0997,-0.4852,347.0997,0
347.3125,-1.0809,347.3125,0,347.3125,-1.1538
347.5254,0,347.5254,0.247,347.5254,0.8168
347.7382,-0.3923,347.7382,0.4736,347.7382,0.5669
347.951,0,347.951,-0.5024,347.951,0.6521
348.1638,-0.6091,348.1638,0.2981,348.1638,-0.3038
348.3766,-0.8325,348.3766,0,348.3766,0
348.5894,0.1923,348.5894,0.6473,348.5894,0
348.8022,0,348.8022,0,348.8022,0.326
349.015,0,349.015,0,349.015,0
349.2277,0.1305,349.2277,0,349.2277,-0.5833
349.4405,-0.5842,349.4405,-0.7294,349.4405,0.2147
349.6532,0.8979,349.6532,0,349.6532,0.3534
349.866,0.3472,349.866,0.4578,349.866,0.2527
350.0787,0.3904,350.0787,0.3688,350.0787,0.2815
350.2914,0.3899,350.2914,0.4078,350.2914,0.2168
350.5041,0.4226,350.5041,0.4315,350.5041,0.2444
350.7168,0.3892,350.7168,0.4356,350.7168,0.2356
350.9295,0.366,350.9295,0.4546,350.9295,0.2428
351.1421,0.3339,351.1421,0.4443,351.1421,0.2608
351.3548,0.4014,351.3548,0.4251,351.3548,0.2394
351.5675,0.3945,351.5675,0.367,351.5675,0.2792
351.7801,0.348,351.7801,0.3383,351.7801,0.2564
351.9927,0.3895,351.9927,0.416,351.9927,0.2488
352.2053,0.3766,352.2053,0.4284,352.2053,0.2081
352.418,0.3978,352.418,0.3678,352.418,0.2689
352.6306,0.4267,352.6306,0.3968,352.6306,0.2422
352.8432,0.3784,352.8432,0.4178,352.8432,0.2515
353.0557,0.4033,353.0557,0.4201,353.0557,0.222
353.2683,0.3604,353.2683,0.3726,353.2683,0.2548
353.4809,0.3806,353.4809,0.4081,353.4809,0.2391
353.6934,0.3695,353.6934,0.3846,353.6934,0.1808
353.906,0.3733,353.906,0.3903,353.906,0.2611
354.1185,0.4219,354.1185,0.4195,354.1185,0.2577
354.331,0.4007,354.331,0.3673,354.331,0.24
354.5435,0.3726,354.5435,0.5355,354.5435,0.227
