Wavelenth,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Overcoating,Before Overcoating,After Overcoating,After Overcoating,5x Purification,5x Purification
368.5471,0.1533,368.5471,0.2311,368.5471,0.0534
368.7589,0.1689,368.7589,0.2438,368.7589,0.0782
368.9707,0.1989,368.9707,0.2395,368.9707,0.0524
369.1825,0.1788,369.1825,0.2478,369.1825,0.0585
369.3943,0.1736,369.3943,0.2326,369.3943,0.0737
369.6061,0.156,369.6061,0.2287,369.6061,0.0684
369.8179,0.1857,369.8179,0.2337,369.8179,0.0583
370.0297,0.1707,370.0297,0.2204,370.0297,0.0587
370.2415,0.1648,370.2415,0.2213,370.2415,0.0805
370.4532,0.1685,370.4532,0.2408,370.4532,0.0707
370.665,0.179,370.665,0.2329,370.665,0.0685
370.8767,0.1745,370.8767,0.2388,370.8767,0.0637
371.0884,0.181,371.0884,0.2268,371.0884,0.0751
371.3001,0.1642,371.3001,0.2547,371.3001,0.063
371.5118,0.184,371.5118,0.2401,371.5118,0.0416
371.7235,0.1775,371.7235,0.2323,371.7235,0.0579
371.9352,0.1643,371.9352,0.2407,371.9352,0.0699
372.1469,0.1668,372.1469,0.2271,372.1469,0.0841
372.3585,0.1522,372.3585,0.2321,372.3585,0.0795
372.5702,0.1448,372.5702,0.2454,372.5702,0.0766
372.7818,0.1614,372.7818,0.2256,372.7818,0.0658
372.9935,0.1679,372.9935,0.2545,372.9935,0.062
373.2051,0.1763,373.2051,0.2409,373.2051,0.0708
373.4167,0.1591,373.4167,0.227,373.4167,0.0537
373.6283,0.174,373.6283,0.2553,373.6283,0.0603
373.8399,0.1633,373.8399,0.2467,373.8399,0.0714
374.0515,0.161,374.0515,0.2451,374.0515,0.0707
374.263,0.1722,374.263,0.2273,374.263,0.0731
374.4746,0.1619,374.4746,0.2136,374.4746,0.0673
374.6862,0.1796,374.6862,0.2407,374.6862,0.0661
374.8977,0.1707,374.8977,0.2212,374.8977,0.0787
375.1092,0.1647,375.1092,0.2379,375.1092,0.0559
375.3207,0.1697,375.3207,0.2521,375.3207,0.0758
375.5323,0.1763,375.5323,0.2441,375.5323,0.0652
375.7438,0.1622,375.7438,0.2432,375.7438,0.0726
375.9552,0.1741,375.9552,0.2374,375.9552,0.0788
376.1667,0.0954,376.1667,0.2148,376.1667,0.0723
376.3782,0.1797,376.3782,0.2382,376.3782,0.0695
376.5896,0.1713,376.5896,0.226,376.5896,0.064
376.8011,0.1823,376.8011,0.24,376.8011,0.0531
377.0125,0.1784,377.0125,0.2243,377.0125,0.0644
377.224,0.1673,377.224,0.2477,377.224,0.0655
377.4354,0.167,377.4354,0.2338,377.4354,0.068
377.6468,0.1771,377.6468,0.2191,377.6468,0.0577
377.8582,0.1679,377.8582,0.2161,377.8582,0.0696
378.0696,0.1753,378.0696,0.2242,378.0696,0.0698
378.2809,0.1707,378.2809,0.234,378.2809,0.07
378.4923,0.163,378.4923,0.2394,378.4923,0.0641
378.7037,0.1669,378.7037,0.2222,378.7037,0.0681
378.915,0.175,378.915,0.2319,378.915,0.0647
379.1263,0.1705,379.1263,0.2451,379.1263,0.0638
379.3377,0.1805,379.3377,0.2202,379.3377,0.0653
379.549,0.1745,379.549,0.2313,379.549,0.0719
379.7603,0.1751,379.7603,0.2377,379.7603,0.0701
379.9716,0.1648,379.9716,0.2283,379.9716,0.0721
380.1829,0.1581,380.1829,0.2238,380.1829,0.0701
380.3941,0.1736,380.3941,0.2276,380.3941,0.0693
380.6054,0.1621,380.6054,0.2412,380.6054,0.0792
380.8166,0.1828,380.8166,0.2309,380.8166,0.0654
381.0279,0.1755,381.0279,0.2425,381.0279,0.0687
381.2391,0.1695,381.2391,0.2342,381.2391,0.0711
381.4503,0.1705,381.4503,0.2393,381.4503,0.0727
381.6615,0.1668,381.6615,0.2284,381.6615,0.0664
381.8727,0.1603,381.8727,0.2424,381.8727,0.0671
382.0839,0.1594,382.0839,0.2276,382.0839,0.0617
382.2951,0.1624,382.2951,0.2409,382.2951,0.0698
382.5063,0.1644,382.5063,0.2342,382.5063,0.0703
382.7174,0.167,382.7174,0.2272,382.7174,0.0731
382.9286,0.1676,382.9286,0.2377,382.9286,0.069
383.1397,0.1728,383.1397,0.2534,383.1397,0.0739
383.3509,0.169,383.3509,0.2312,383.3509,0.0697
383.562,0.1609,383.562,0.2375,383.562,0.0757
383.7731,0.1724,383.7731,0.2329,383.7731,0.0675
383.9842,0.1642,383.9842,0.2248,383.9842,0.0681
384.1953,0.1598,384.1953,0.2259,384.1953,0.0669
384.4063,0.1744,384.4063,0.2281,384.4063,0.0687
384.6174,0.163,384.6174,0.225,384.6174,0.0695
384.8285,0.1715,384.8285,0.241,384.8285,0.0687
385.0395,0.165,385.0395,0.2249,385.0395,0.0761
385.2505,0.157,385.2505,0.2337,385.2505,0.0701
385.4616,0.1672,385.4616,0.227,385.4616,0.0737
385.6726,0.1679,385.6726,0.2415,385.6726,0.0644
385.8836,0.1558,385.8836,0.235,385.8836,0.0629
386.0946,0.162,386.0946,0.2329,386.0946,0.0659
386.3056,0.1691,386.3056,0.2396,386.3056,0.0715
386.5165,0.1606,386.5165,0.2298,386.5165,0.0718
386.7275,0.1574,386.7275,0.229,386.7275,0.0709
386.9384,0.1628,386.9384,0.229,386.9384,0.075
387.1494,0.153,387.1494,0.2304,387.1494,0.0739
387.3603,0.1553,387.3603,0.2343,387.3603,0.0681
