Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,2x Purification,2x Purification
346.0353,0,346.0353,0,346.0353,-0.7628
346.2482,0,346.2482,0,346.2482,-0.7628
346.4611,0,346.4611,0,346.4611,-0.7628
346.674,0,346.674,-1.0287,346.674,0.6291
346.8868,-0.2485,346.8868,0.4093,346.8868,0
347.0997,0,347.0997,0,347.0997,1.1286
347.3125,-0.3593,347.3125,-0.6166,347.3125,0
347.5254,0,347.5254,0,347.5254,0.6755
347.7382,-0.1401,347.7382,-0.1556,347.7382,-0.2877
347.951,-0.1738,347.951,-0.386,347.951,0
348.1638,-0.1578,348.1638,0.4279,348.1638,0
348.3766,0.2766,348.3766,0.5007,348.3766,0.1865
348.5894,0,348.5894,0.1966,348.5894,0.2517
348.8022,1.0299,348.8022,0,348.8022,0.1451
349.015,0,349.015,-0.9663,349.015,-0.0358
349.2277,0,349.2277,0.1242,349.2277,-0.8551
349.4405,-0.0778,349.4405,0.2497,349.4405,0
349.6532,0.4451,349.6532,0.7422,349.6532,0
349.866,0.263,349.866,0.4329,349.866,0.1636
350.0787,0.3394,350.0787,0.4551,350.0787,0.1353
350.2914,0.307,350.2914,0.4061,350.2914,0.123
350.5041,0.2908,350.5041,0.4259,350.5041,0.1442
350.7168,0.3351,350.7168,0.4539,350.7168,0.1672
350.9295,0.3065,350.9295,0.3704,350.9295,0.1541
351.1421,0.2783,351.1421,0.4274,351.1421,0.1714
351.3548,0.3414,351.3548,0.4236,351.3548,0.1745
351.5675,0.3295,351.5675,0.4067,351.5675,0.1616
351.7801,0.3473,351.7801,0.4439,351.7801,0.1634
351.9927,0.3008,351.9927,0.4692,351.9927,0.1782
352.2053,0.3232,352.2053,0.4308,352.2053,0.1752
352.418,0.2939,352.418,0.3797,352.418,0.1455
352.6306,0.3485,352.6306,0.3945,352.6306,0.1774
352.8432,0.3464,352.8432,0.4498,352.8432,0.1605
353.0557,0.3381,353.0557,0.3959,353.0557,0.1442
353.2683,0.3349,353.2683,0.4452,353.2683,0.1421
353.4809,0.2874,353.4809,0.5018,353.4809,0.15
353.6934,0.2869,353.6934,0.441,353.6934,0.1469
353.906,0.3007,353.906,0.4248,353.906,0.1681
354.1185,0.2753,354.1185,0.371,354.1185,0.1485
354.331,0.3071,354.331,0.4293,354.331,0.1682
354.5435,0.3126,354.5435,0.4425,354.5435,0.1524
354.756,0.3221,354.756,0.4649,354.756,0.1549
354.9685,0.2793,354.9685,0.4188,354.9685,0.1518
355.181,0.3046,355.181,0.4766,355.181,0.1271
355.3935,0.3225,355.3935,0.4379,355.3935,0.1535
355.6059,0.3001,355.6059,0.4587,355.6059,0.1539
355.8184,0.3275,355.8184,0.4594,355.8184,0.1466
356.0308,0.2797,356.0308,0.4232,356.0308,0.1767
356.2433,0.293,356.2433,0.3856,356.2433,0.1545
356.4557,0.3343,356.4557,0.429,356.4557,0.1451
356.6681,0.316,356.6681,0.4141,356.6681,0.1514
356.8805,0.3263,356.8805,0.4698,356.8805,0.1604
357.0929,0.3488,357.0929,0.4472,357.0929,0.1348
357.3053,0.3323,357.3053,0.406,357.3053,0.1488
357.5176,0.2904,357.5176,0.4241,357.5176,0.1419
357.73,0.265,357.73,0.3955,357.73,0.1394
357.9424,0.342,357.9424,0.4314,357.9424,0.1344
358.1547,0.3414,358.1547,0.4024,358.1547,0.1538
358.367,0.3349,358.367,0.4056,358.367,0.1537
358.5793,0.3346,358.5793,0.429,358.5793,0.171
358.7917,0.3611,358.7917,0.3789,358.7917,0.1486
359.004,0.2983,359.004,0.4019,359.004,0.1506
359.2162,0.3812,359.2162,0.4335,359.2162,0.1244
359.4285,0.3066,359.4285,0.4497,359.4285,0.168
359.6408,0.2859,359.6408,0.3819,359.6408,0.1605
359.8531,0.3227,359.8531,0.5036,359.8531,0.128
360.0653,0.3518,360.0653,0.4277,360.0653,0.143
360.2776,0.2983,360.2776,0.3901,360.2776,0.1558
360.4898,0.2972,360.4898,0.4094,360.4898,0.1122
360.702,0.3407,360.702,0.4196,360.702,0.1397
360.9142,0.2791,360.9142,0.4189,360.9142,0.1228
361.1264,0.3475,361.1264,0.4404,361.1264,0.1486
361.3386,0.317,361.3386,0.4447,361.3386,0.1523
361.5508,0.3065,361.5508,0.4339,361.5508,0.1279
361.763,0.3461,361.763,0.4102,361.763,0.1555
361.9751,0.329,361.9751,0.4755,361.9751,0.1547
362.1873,0.3223,362.1873,0.4211,362.1873,0.1668
362.3994,0.329,362.3994,0.4442,362.3994,0.1675
