Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,-0.2602,346.0353,-0.3282,346.0353,0
346.2482,-0.2602,346.2482,-0.3282,346.2482,0
346.4611,-0.2602,346.4611,-0.3282,346.4611,0
346.674,-1.9322,346.674,0.2218,346.674,1.1029
346.8868,0,346.8868,0.5807,346.8868,0
347.0997,0.1832,347.0997,0.0501,347.0997,0
347.3125,0.0341,347.3125,0.2835,347.3125,0.3084
347.5254,-0.1246,347.5254,0.1305,347.5254,0
347.7382,0.3738,347.7382,0,347.7382,-0.0701
347.951,-0.897,347.951,0,347.951,0
348.1638,-0.1448,348.1638,-0.3388,348.1638,0.1931
348.3766,0.1726,348.3766,-0.7341,348.3766,-0.3343
348.5894,0.1041,348.5894,0,348.5894,-0.0656
348.8022,0.5959,348.8022,0.6141,348.8022,0.7115
349.015,0.3848,349.015,0,349.015,-0.3734
349.2277,-0.2389,349.2277,0.3878,349.2277,-0.1509
349.4405,-0.4088,349.4405,0,349.4405,0.1905
349.6532,1.1632,349.6532,-0.2962,349.6532,0
349.866,0.4047,349.866,0.415,349.866,0.2073
350.0787,0.4091,350.0787,0.3955,350.0787,0.2281
350.2914,0.3342,350.2914,0.411,350.2914,0.2436
350.5041,0.3237,350.5041,0.3899,350.5041,0.2318
350.7168,0.3606,350.7168,0.4219,350.7168,0.2398
350.9295,0.3322,350.9295,0.4212,350.9295,0.2175
351.1421,0.3424,351.1421,0.3966,351.1421,0.2097
351.3548,0.3418,351.3548,0.4064,351.3548,0.2104
351.5675,0.3782,351.5675,0.3981,351.5675,0.2142
351.7801,0.3095,351.7801,0.4298,351.7801,0.2225
351.9927,0.3005,351.9927,0.4136,351.9927,0.2104
352.2053,0.3216,352.2053,0.4162,352.2053,0.2141
352.418,0.4161,352.418,0.4127,352.418,0.2368
352.6306,0.328,352.6306,0.4008,352.6306,0.2766
352.8432,0.3511,352.8432,0.3919,352.8432,0.2133
353.0557,0.3421,353.0557,0.423,353.0557,0.2258
353.2683,0.3596,353.2683,0.4047,353.2683,0.2561
353.4809,0.3636,353.4809,0.4151,353.4809,0.2008
353.6934,0.3344,353.6934,0.3853,353.6934,0.1972
353.906,0.3814,353.906,0.4042,353.906,0.1987
354.1185,0.4062,354.1185,0.3968,354.1185,0.2038
354.331,0.3028,354.331,0.408,354.331,0.2375
354.5435,0.3495,354.5435,0.4268,354.5435,0.2399
354.756,0.3098,354.756,0.3956,354.756,0.2274
354.9685,0.2998,354.9685,0.4176,354.9685,0.203
355.181,0.3325,355.181,0.4152,355.181,0.2252
355.3935,0.3324,355.3935,0.4212,355.3935,0.1948
355.6059,0.3528,355.6059,0.4171,355.6059,0.227
355.8184,0.312,355.8184,0.4189,355.8184,0.2645
356.0308,0.3236,356.0308,0.376,356.0308,0.2218
356.2433,0.3796,356.2433,0.4341,356.2433,0.185
356.4557,0.3563,356.4557,0.3794,356.4557,0.2575
356.6681,0.3711,356.6681,0.4164,356.6681,0.1852
356.8805,0.3421,356.8805,0.3989,356.8805,0.2292
357.0929,0.3458,357.0929,0.4348,357.0929,0.2508
357.3053,0.3351,357.3053,0.4009,357.3053,0.2326
357.5176,0.3549,357.5176,0.4073,357.5176,0.2032
357.73,0.3345,357.73,0.4263,357.73,0.2298
357.9424,0.346,357.9424,0.43,357.9424,0.2544
358.1547,0.349,358.1547,0.4119,358.1547,0.2112
358.367,0.3475,358.367,0.3888,358.367,0.2142
358.5793,0.3684,358.5793,0.4273,358.5793,0.2039
358.7917,0.3211,358.7917,0.4227,358.7917,0.2227
359.004,0.3495,359.004,0.4123,359.004,0.2017
359.2162,0.3395,359.2162,0.4198,359.2162,0.1982
359.4285,0.3431,359.4285,0.4203,359.4285,0.2309
359.6408,0.3269,359.6408,0.4405,359.6408,0.203
359.8531,0.3267,359.8531,0.3929,359.8531,0.2256
360.0653,0.3523,360.0653,0.4006,360.0653,0.216
360.2776,0.3841,360.2776,0.4276,360.2776,0.2189
360.4898,0.3765,360.4898,0.4143,360.4898,0.2257
360.702,0.2941,360.702,0.4145,360.702,0.2577
360.9142,0.3744,360.9142,0.3901,360.9142,0.2142
361.1264,0.3905,361.1264,0.4028,361.1264,0.2092
361.3386,0.335,361.3386,0.4044,361.3386,0.2107
361.5508,0.3933,361.5508,0.4334,361.5508,0.1986
361.763,0.3332,361.763,0.3996,361.763,0.2285
361.9751,0.3388,361.9751,0.3972,361.9751,0.2128
362.1873,0.3893,362.1873,0.4144,362.1873,0.2213
362.3994,0.3461,362.3994,0.4192,362.3994,0.1972
362.6115,0.3228,362.6115,0.4042,362.6115,0.2241
362.8237,0.3739,362.8237,0.4139,362.8237,0.2261
363.0358,0.3684,363.0358,0.3942,363.0358,0.2347
363.2479,0.3794,363.2479,0.4176,363.2479,0.2263
363.46,0.3606,363.46,0.4108,363.46,0.2578
363.672,0.386,363.672,0.4063,363.672,0.2457
363.8841,0.3554,363.8841,0.4009,363.8841,0.2082
364.0962,0.3366,364.0962,0.4054,364.0962,0.2289
364.3082,0.3221,364.3082,0.4271,364.3082,0.2252
364.5202,0.3963,364.5202,0.4109,364.5202,0.178
364.7323,0.3297,364.7323,0.4036,364.7323,0.2277
364.9443,0.3503,364.9443,0.4001,364.9443,0.1994
365.1563,0.3685,365.1563,0.4117,365.1563,0.1933
365.3683,0.3468,365.3683,0.4115,365.3683,0.21
365.5803,0.3552,365.5803,0.4096,365.5803,0.2211
365.7923,0.3662,365.7923,0.4201,365.7923,0.2199
366.0042,0.377,366.0042,0.4133,366.0042,0.242
366.2162,0.3677,366.2162,0.4015,366.2162,0.2082
366.4281,0.3774,366.4281,0.4187,366.4281,0.2365
366.6401,0.3657,366.6401,0.4121,366.6401,0.1963
366.852,0.3595,366.852,0.4304,366.852,0.2179
367.0639,0.3683,367.0639,0.4198,367.0639,0.2068
367.2758,0.3475,367.2758,0.4217,367.2758,0.2028
367.4877,0.3407,367.4877,0.4121,367.4877,0.2326
367.6996,0.3346,367.6996,0.4238,367.6996,0.2204
367.9115,0.3424,367.9115,0.4066,367.9115,0.2194
368.1234,0.3431,368.1234,0.4263,368.1234,0.2158
368.3352,0.3593,368.3352,0.4194,368.3352,0.209
368.5471,0.3546,368.5471,0.4046,368.5471,0.1992
368.7589,0.3192,368.7589,0.4166,368.7589,0.225
368.9707,0.3091,368.9707,0.4152,368.9707,0.2308
369.1825,0.344,369.1825,0.4172,369.1825,0.2013
369.3943,0.343,369.3943,0.4066,369.3943,0.2233
369.6061,0.3382,369.6061,0.4044,369.6061,0.2103
369.8179,0.3685,369.8179,0.4071,369.8179,0.227
370.0297,0.3293,370.0297,0.4151,370.0297,0.2128
370.2415,0.3514,370.2415,0.4172,370.2415,0.224
370.4532,0.3374,370.4532,0.4058,370.4532,0.1972
370.665,0.3649,370.665,0.4195,370.665,0.2063
370.8767,0.3512,370.8767,0.4013,370.8767,0.21
371.0884,0.3318,371.0884,0.4402,371.0884,0.2005
371.3001,0.324,371.3001,0.4078,371.3001,0.1951
371.5118,0.3291,371.5118,0.4072,371.5118,0.1869
371.7235,0.3399,371.7235,0.4055,371.7235,0.2101
371.9352,0.3431,371.9352,0.4134,371.9352,0.2239
372.1469,0.3745,372.1469,0.3984,372.1469,0.205
372.3585,0.3772,372.3585,0.4081,372.3585,0.1986
372.5702,0.3435,372.5702,0.4037,372.5702,0.1975
372.7818,0.3416,372.7818,0.399,372.7818,0.2065
372.9935,0.3358,372.9935,0.4003,372.9935,0.1979
373.2051,0.3781,373.2051,0.4115,373.2051,0.2289
373.4167,0.3691,373.4167,0.4169,373.4167,0.2015
373.6283,0.3388,373.6283,0.4108,373.6283,0.2102
373.8399,0.3913,373.8399,0.4159,373.8399,0.1927
