Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-]
Before SiO2 Overcoating,Before SiO2 Overcoating,After 5x Purification,After 5x Purification
346.0353,-0.199,346.0353,0.7537
346.2482,-0.199,346.2482,0.7537
346.4611,-0.199,346.4611,0.7537
346.674,-0.1378,346.674,0.2652
346.8868,0,346.8868,0
347.0997,0.2508,347.0997,-0.3978
347.3125,0.7755,347.3125,0
347.5254,0,347.5254,0.3758
347.7382,0.0721,347.7382,0
347.951,-0.277,347.951,0
348.1638,-0.4574,348.1638,0.8439
348.3766,1.3083,348.3766,0
348.5894,-0.1395,348.5894,1.0601
348.8022,1.7621,348.8022,0.2442
349.015,-0.9154,349.015,0.0312
349.2277,-0.4119,349.2277,0.2991
349.4405,0,349.4405,0.3579
349.6532,0,349.6532,0.1695
349.866,0.2861,349.866,0.1863
350.0787,0.3168,350.0787,0.1716
350.2914,0.3444,350.2914,0.1993
350.5041,0.2592,350.5041,0.1621
350.7168,0.3232,350.7168,0.1651
350.9295,0.3507,350.9295,0.207
351.1421,0.2996,351.1421,0.1862
351.3548,0.3038,351.3548,0.1793
351.5675,0.3165,351.5675,0.1473
351.7801,0.2942,351.7801,0.1773
351.9927,0.3202,351.9927,0.1714
352.2053,0.315,352.2053,0.1723
352.418,0.28,352.418,0.1769
352.6306,0.3182,352.6306,0.1587
352.8432,0.3191,352.8432,0.149
353.0557,0.334,353.0557,0.1606
353.2683,0.3755,353.2683,0.168
353.4809,0.3117,353.4809,0.1597
353.6934,0.3259,353.6934,0.1897
353.906,0.2936,353.906,0.1707
354.1185,0.3327,354.1185,0.1864
354.331,0.3047,354.331,0.1742
354.5435,0.33,354.5435,0.1853
354.756,0.3259,354.756,0.179
354.9685,0.3116,354.9685,0.1733
355.181,0.301,355.181,0.1439
355.3935,0.3175,355.3935,0.1852
355.6059,0.3123,355.6059,0.175
355.8184,0.3444,355.8184,0.1656
356.0308,0.3114,356.0308,0.1712
356.2433,0.3045,356.2433,0.1557
356.4557,0.3244,356.4557,0.1688
356.6681,0.3018,356.6681,0.1781
356.8805,0.318,356.8805,0.1664
357.0929,0.3201,357.0929,0.1592
357.3053,0.324,357.3053,0.1534
357.5176,0.3427,357.5176,0.1568
357.73,0.3084,357.73,0.1704
357.9424,0.33,357.9424,0.1791
358.1547,0.3218,358.1547,0.1637
358.367,0.3311,358.367,0.1831
358.5793,0.3493,358.5793,0.1641
358.7917,0.3057,358.7917,0.1558
359.004,0.3258,359.004,0.1683
359.2162,0.34,359.2162,0.1756
359.4285,0.3035,359.4285,0.198
359.6408,0.3339,359.6408,0.1725
359.8531,0.3001,359.8531,0.1708
360.0653,0.2976,360.0653,0.1543
360.2776,0.3148,360.2776,0.2026
360.4898,0.2923,360.4898,0.1784
360.702,0.3044,360.702,0.1689
360.9142,0.3339,360.9142,0.1978
361.1264,0.2957,361.1264,0.1753
361.3386,0.3086,361.3386,0.1751
361.5508,0.3182,361.5508,0.1848
361.763,0.2965,361.763,0.1761
361.9751,0.3063,361.9751,0.1506
362.1873,0.3321,362.1873,0.1708
362.3994,0.331,362.3994,0.1712
362.6115,0.3411,362.6115,0.1741
362.8237,0.319,362.8237,0.1676
363.0358,0.323,363.0358,0.1843
363.2479,0.3189,363.2479,0.1726
363.46,0.3379,363.46,0.1783
363.672,0.3537,363.672,0.1645
363.8841,0.2961,363.8841,0.1821
364.0962,0.3394,364.0962,0.166
364.3082,0.3146,364.3082,0.1668
364.5202,0.3219,364.5202,0.1807
364.7323,0.3387,364.7323,0.1856
364.9443,0.3144,364.9443,0.1807
365.1563,0.3238,365.1563,0.1667
365.3683,0.342,365.3683,0.1838
365.5803,0.3229,365.5803,0.171
365.7923,0.3222,365.7923,0.1758
366.0042,0.3255,366.0042,0.1582
366.2162,0.3197,366.2162,0.1659
366.4281,0.3313,366.4281,0.1716
366.6401,0.3131,366.6401,0.1916
366.852,0.334,366.852,0.1706
367.0639,0.3322,367.0639,0.1805
367.2758,0.3083,367.2758,0.1784
367.4877,0.3124,367.4877,0.1626
367.6996,0.3335,367.6996,0.1528
367.9115,0.3066,367.9115,0.1684
