Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[nm]
Before SiO\-(2) Overcoating,Before SiO\-(2) Overcoating,After SiO\-(2) Overcoating,After SiO\-(2) Overcoating,After 5x Purification,After 5x Purification
346.0353,0,346.0353,0.2796,346.0353,0.2744
346.2482,0,346.2482,0.2796,346.2482,0.2744
346.4611,0,346.4611,0.2796,346.4611,0.2744
346.674,0.3202,346.674,0.2164,346.674,0.1265
346.8868,-1.1566,346.8868,1.0206,346.8868,-0.0582
347.0997,0.2354,347.0997,0,347.0997,-0.4964
347.3125,0,347.3125,0.0943,347.3125,-0.6706
347.5254,0,347.5254,0.0458,347.5254,-0.2504
347.7382,0,347.7382,0,347.7382,-0.6957
347.951,0,347.951,0.2888,347.951,2.2389
348.1638,0.3381,348.1638,0,348.1638,0
348.3766,-0.1393,348.3766,-0.5038,348.3766,0
348.5894,0.0312,348.5894,0.0933,348.5894,0
348.8022,1.7059,348.8022,0,348.8022,0
349.015,0,349.015,-1.2606,349.015,-0.0979
349.2277,-0.2521,349.2277,0,349.2277,-0.0623
349.4405,0,349.4405,0,349.4405,-0.0035
349.6532,-0.0299,349.6532,0,349.6532,0.7225
349.866,0.3107,349.866,0.3291,349.866,0.1557
350.0787,0.3261,350.0787,0.2981,350.0787,0.1677
350.2914,0.3285,350.2914,0.3687,350.2914,0.1924
350.5041,0.2847,350.5041,0.3225,350.5041,0.1684
350.7168,0.3048,350.7168,0.2887,350.7168,0.1794
350.9295,0.3058,350.9295,0.3565,350.9295,0.1716
351.1421,0.3001,351.1421,0.3054,351.1421,0.1707
351.3548,0.3319,351.3548,0.3356,351.3548,0.1784
351.5675,0.3138,351.5675,0.322,351.5675,0.204
351.7801,0.3195,351.7801,0.2963,351.7801,0.1706
351.9927,0.2866,351.9927,0.3328,351.9927,0.1759
352.2053,0.2774,352.2053,0.2785,352.2053,0.202
352.418,0.3365,352.418,0.2924,352.418,0.1705
352.6306,0.3218,352.6306,0.3502,352.6306,0.1748
352.8432,0.3204,352.8432,0.3262,352.8432,0.1866
353.0557,0.347,353.0557,0.3249,353.0557,0.159
353.2683,0.28,353.2683,0.3098,353.2683,0.1786
