Wavelength,Absorbance,Wavelength,Absorabnce,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Pur,4x Pur
368.7589,0.384,368.7589,0.3496,368.7589,0.2488
368.9707,0.3974,368.9707,0.3735,368.9707,0.2514
369.1825,0.3868,369.1825,0.3575,369.1825,0.2703
369.3943,0.3614,369.3943,0.3422,369.3943,0.2428
369.6061,0.3701,369.6061,0.3631,369.6061,0.2325
369.8179,0.3783,369.8179,0.3632,369.8179,0.2429
370.0297,0.3952,370.0297,0.3166,370.0297,0.2406
370.2415,0.3592,370.2415,0.3639,370.2415,0.2539
370.4532,0.3655,370.4532,0.3405,370.4532,0.2562
370.665,0.3531,370.665,0.3411,370.665,0.2537
370.8767,0.374,370.8767,0.3205,370.8767,0.2519
371.0884,0.3784,371.0884,0.3499,371.0884,0.2668
371.3001,0.3736,371.3001,0.3494,371.3001,0.2285
371.5118,0.3955,371.5118,0.3589,371.5118,0.2399
371.7235,0.3953,371.7235,0.3328,371.7235,0.2632
371.9352,0.3515,371.9352,0.3376,371.9352,0.2507
372.1469,0.3686,372.1469,0.3651,372.1469,0.2368
372.3585,0.3648,372.3585,0.351,372.3585,0.2505
372.5702,0.3896,372.5702,0.3759,372.5702,0.2714
372.7818,0.3904,372.7818,0.3572,372.7818,0.248
372.9935,0.3474,372.9935,0.3652,372.9935,0.2368
373.2051,0.3761,373.2051,0.362,373.2051,0.2262
373.4167,0.3872,373.4167,0.39,373.4167,0.2097
373.6283,0.395,373.6283,0.387,373.6283,0.2315
373.8399,0.4008,373.8399,0.3698,373.8399,0.2423
374.0515,0.4016,374.0515,0.3683,374.0515,0.2486
374.263,0.3494,374.263,0.3563,374.263,0.2424
374.4746,0.3675,374.4746,0.3317,374.4746,0.2334
374.6862,0.3741,374.6862,0.381,374.6862,0.231
374.8977,0.3826,374.8977,0.349,374.8977,0.2372
375.1092,0.3711,375.1092,0.3657,375.1092,0.2425
375.3207,0.373,375.3207,0.339,375.3207,0.2242
375.5323,0.4019,375.5323,0.3473,375.5323,0.237
375.7438,0.3769,375.7438,0.347,375.7438,0.2411
375.9552,0.3534,375.9552,0.3544,375.9552,0.2364
376.1667,0.2973,376.1667,0.1781,376.1667,0.2487
376.3782,0.3935,376.3782,0.3814,376.3782,0.2341
376.5896,0.3847,376.5896,0.338,376.5896,0.2466
376.8011,0.3648,376.8011,0.3524,376.8011,0.2449
377.0125,0.3772,377.0125,0.362,377.0125,0.2346
377.224,0.3991,377.224,0.3449,377.224,0.2301
377.4354,0.3949,377.4354,0.3491,377.4354,0.2431
377.6468,0.3914,377.6468,0.347,377.6468,0.2422
377.8582,0.3541,377.8582,0.3567,377.8582,0.2477
378.0696,0.3591,378.0696,0.3629,378.0696,0.2216
378.2809,0.3787,378.2809,0.3869,378.2809,0.2432
378.4923,0.4053,378.4923,0.3549,378.4923,0.2423
378.7037,0.3573,378.7037,0.3934,378.7037,0.2348
378.915,0.4058,378.915,0.3589,378.915,0.2364
379.1263,0.3732,379.1263,0.3597,379.1263,0.2438
379.3377,0.3831,379.3377,0.3717,379.3377,0.2165
379.549,0.3717,379.549,0.3778,379.549,0.24
379.7603,0.3847,379.7603,0.3612,379.7603,0.234
379.9716,0.3531,379.9716,0.3485,379.9716,0.2315
380.1829,0.3982,380.1829,0.3518,380.1829,0.2485
380.3941,0.3602,380.3941,0.3489,380.3941,0.2222
380.6054,0.3829,380.6054,0.3678,380.6054,0.2354
380.8166,0.3853,380.8166,0.3405,380.8166,0.255
381.0279,0.3973,381.0279,0.368,381.0279,0.2343
381.2391,0.3863,381.2391,0.3595,381.2391,0.2345
381.4503,0.3958,381.4503,0.3914,381.4503,0.2414
381.6615,0.3886,381.6615,0.3736,381.6615,0.2359
381.8727,0.4014,381.8727,0.3724,381.8727,0.2305
382.0839,0.4074,382.0839,0.3849,382.0839,0.2346
382.2951,0.3781,382.2951,0.3541,382.2951,0.2379
382.5063,0.3874,382.5063,0.3731,382.5063,0.2366
382.7174,0.3999,382.7174,0.3835,382.7174,0.2428
382.9286,0.3958,382.9286,0.3739,382.9286,0.2258
383.1397,0.4001,383.1397,0.3921,383.1397,0.2211
383.3509,0.3877,383.3509,0.3669,383.3509,0.2392
383.562,0.3996,383.562,0.3623,383.562,0.2336
383.7731,0.3959,383.7731,0.3833,383.7731,0.237
383.9842,0.4004,383.9842,0.3776,383.9842,0.2369
384.1953,0.4094,384.1953,0.3833,384.1953,0.232
384.4063,0.3918,384.4063,0.354,384.4063,0.2272
384.6174,0.3999,384.6174,0.3721,384.6174,0.2464
384.8285,0.3934,384.8285,0.378,384.8285,0.2377
385.0395,0.3815,385.0395,0.3875,385.0395,0.2388
385.2505,0.4151,385.2505,0.356,385.2505,0.2398
385.4616,0.4094,385.4616,0.3746,385.4616,0.2344
385.6726,0.4024,385.6726,0.3842,385.6726,0.2406
385.8836,0.3953,385.8836,0.3777,385.8836,0.2354
386.0946,0.4081,386.0946,0.3709,386.0946,0.2336
386.3056,0.4136,386.3056,0.3753,386.3056,0.2231
386.5165,0.4081,386.5165,0.3869,386.5165,0.2218
386.7275,0.3947,386.7275,0.354,386.7275,0.2272
386.9384,0.3963,386.9384,0.3657,386.9384,0.2306
387.1494,0.3932,387.1494,0.3742,387.1494,0.2313
387.3603,0.3943,387.3603,0.3737,387.3603,0.2202
387.5712,0.4133,387.5712,0.3811,387.5712,0.2291
387.7822,0.4026,387.7822,0.3756,387.7822,0.2287
387.9931,0.4063,387.9931,0.3865,387.9931,0.2207
388.2039,0.3934,388.2039,0.3854,388.2039,0.235
388.4148,0.4065,388.4148,0.3759,388.4148,0.2305
388.6257,0.4021,388.6257,0.3728,388.6257,0.227
388.8365,0.4119,388.8365,0.3763,388.8365,0.2282
