Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,2.02,346.0353,0.1483,346.0353,0.581
346.2482,2.02,346.2482,0.1483,346.2482,0.581
346.4611,2.02,346.4611,0.1483,346.4611,0.581
346.674,0,346.674,-0.5377,346.674,0
346.8868,-0.1855,346.8868,0,346.8868,-0.368
347.0997,-0.1509,347.0997,0,347.0997,0
347.3125,-0.3046,347.3125,0,347.3125,0.5156
347.5254,0.6137,347.5254,0,347.5254,0.2411
347.7382,0.5992,347.7382,0.0358,347.7382,0.2362
347.951,0.0513,347.951,0.6235,347.951,0.2719
348.1638,0,348.1638,0.2631,348.1638,-0.9542
348.3766,0.4306,348.3766,0.0974,348.3766,-0.5656
348.5894,-0.2189,348.5894,-0.1483,348.5894,0.0343
348.8022,0.2908,348.8022,0,348.8022,-0.1168
349.015,0,349.015,1.1991,349.015,1.6641
349.2277,-0.0031,349.2277,0,349.2277,0.0828
349.4405,-0.5006,349.4405,0,349.4405,0.2379
349.6532,-0.3241,349.6532,0,349.6532,-0.7371
349.866,0.2636,349.866,0.3713,349.866,0.248
350.0787,0.2733,350.0787,0.4005,350.0787,0.2328
350.2914,0.3017,350.2914,0.4857,350.2914,0.2694
350.5041,0.4685,350.5041,0.3776,350.5041,0.2831
350.7168,0.3697,350.7168,0.3922,350.7168,0.1954
350.9295,0.495,350.9295,0.454,350.9295,0.2255
351.1421,0.6484,351.1421,0.3716,351.1421,0.2501
351.3548,0.2556,351.3548,0.4172,351.3548,0.2433
351.5675,0.3262,351.5675,0.387,351.5675,0.2557
351.7801,0.0986,351.7801,0.3836,351.7801,0.2836
351.9927,0.5376,351.9927,0.4082,351.9927,0.2649
352.2053,0.5137,352.2053,0.3762,352.2053,0.2598
352.418,0.3846,352.418,0.3692,352.418,0.2601
352.6306,0.4489,352.6306,0.397,352.6306,0.288
352.8432,0.5281,352.8432,0.4015,352.8432,0.2457
353.0557,0.2743,353.0557,0.3991,353.0557,0.2061
353.2683,0.3178,353.2683,0.3922,353.2683,0.2627
353.4809,0.3627,353.4809,0.4142,353.4809,0.2266
353.6934,0.325,353.6934,0.3526,353.6934,0.2666
353.906,0.1704,353.906,0.4157,353.906,0.1947
354.1185,0.419,354.1185,0.4211,354.1185,0.2351
354.331,0.2486,354.331,0.3697,354.331,0.2416
354.5435,0.3792,354.5435,0.3736,354.5435,0.2685
354.756,0.2983,354.756,0.3911,354.756,0.2415
354.9685,0.6038,354.9685,0.3684,354.9685,0.2522
355.181,0.3782,355.181,0.4602,355.181,0.2793
355.3935,0.4124,355.3935,0.3572,355.3935,0.2571
355.6059,0.3462,355.6059,0.414,355.6059,0.2526
355.8184,0.1859,355.8184,0.3697,355.8184,0.2484
356.0308,0.3831,356.0308,0.4638,356.0308,0.2157
356.2433,0.292,356.2433,0.3856,356.2433,0.2665
356.4557,0.2646,356.4557,0.4209,356.4557,0.264
356.6681,0.208,356.6681,0.3949,356.6681,0.2781
356.8805,0.3446,356.8805,0.4272,356.8805,0.2474
357.0929,0.4362,357.0929,0.5023,357.0929,0.2223
357.3053,0.2762,357.3053,0.3705,357.3053,0.2491
357.5176,0.443,357.5176,0.3764,357.5176,0.269
357.73,0.2726,357.73,0.3815,357.73,0.2177
357.9424,0.25,357.9424,0.4052,357.9424,0.2921
358.1547,0.4187,358.1547,0.3824,358.1547,0.2483
358.367,0.3471,358.367,0.3988,358.367,0.2665
358.5793,0.0891,358.5793,0.4119,358.5793,0.2276
358.7917,0.233,358.7917,0.4012,358.7917,0.2828
359.004,0.4466,359.004,0.3525,359.004,0.2191
359.2162,0.2951,359.2162,0.4094,359.2162,0.2433
359.4285,0.2536,359.4285,0.4067,359.4285,0.2588
359.6408,0.2456,359.6408,0.4198,359.6408,0.2268
359.8531,0.4982,359.8531,0.3513,359.8531,0.2365
360.0653,0.3863,360.0653,0.3827,360.0653,0.2216
360.2776,0.1117,360.2776,0.418,360.2776,0.2628
360.4898,0.3029,360.4898,0.4815,360.4898,0.2684
360.702,0.4336,360.702,0.372,360.702,0.2803
360.9142,0.3786,360.9142,0.4123,360.9142,0.268
361.1264,0.4926,361.1264,0.4319,361.1264,0.2683
361.3386,0.367,361.3386,0.388,361.3386,0.2569
361.5508,0.4747,361.5508,0.3574,361.5508,0.2416
361.763,0.5625,361.763,0.3668,361.763,0.265
361.9751,0.4289,361.9751,0.3833,361.9751,0.2558
362.1873,0.6115,362.1873,0.4254,362.1873,0.272
362.3994,0.3528,362.3994,0.3978,362.3994,0.2664
362.6115,0.4033,362.6115,0.4095,362.6115,0.2684
362.8237,0.2657,362.8237,0.3718,362.8237,0.2783
363.0358,0.3067,363.0358,0.4458,363.0358,0.2586
363.2479,0.2564,363.2479,0.3826,363.2479,0.2584
363.46,0.1611,363.46,0.4604,363.46,0.2367
363.672,0.3275,363.672,0.4443,363.672,0.2729
363.8841,0.3172,363.8841,0.4198,363.8841,0.2448
364.0962,0.3289,364.0962,0.434,364.0962,0.2555
364.3082,0.361,364.3082,0.4136,364.3082,0.301
364.5202,0.2996,364.5202,0.4016,364.5202,0.2177
364.7323,0.549,364.7323,0.3866,364.7323,0.2476
364.9443,0.5243,364.9443,0.3955,364.9443,0.238
365.1563,0.3394,365.1563,0.412,365.1563,0.2581
365.3683,0.3947,365.3683,0.4202,365.3683,0.2565
365.5803,0.5294,365.5803,0.4162,365.5803,0.279
365.7923,0.4493,365.7923,0.3868,365.7923,0.2443
366.0042,0.3896,366.0042,0.3968,366.0042,0.2562
366.2162,0.2895,366.2162,0.394,366.2162,0.2688
366.4281,0.3293,366.4281,0.4642,366.4281,0.271
366.6401,0.3216,366.6401,0.3972,366.6401,0.2374
366.852,0.3975,366.852,0.3876,366.852,0.2612
367.0639,0.4853,367.0639,0.402,367.0639,0.2463
367.2758,0.3993,367.2758,0.4067,367.2758,0.2561
367.4877,0.3729,367.4877,0.4206,367.4877,0.2578
367.6996,0.3299,367.6996,0.4072,367.6996,0.2781
367.9115,0.3973,367.9115,0.4441,367.9115,0.28
368.1234,0.3877,368.1234,0.3988,368.1234,0.2743
368.3352,0.3304,368.3352,0.4068,368.3352,0.2512
368.5471,0.3118,368.5471,0.428,368.5471,0.2581
368.7589,0.3562,368.7589,0.4426,368.7589,0.2412
368.9707,0.3701,368.9707,0.4469,368.9707,0.2601
369.1825,0.4361,369.1825,0.407,369.1825,0.2674
369.3943,0.4038,369.3943,0.4182,369.3943,0.2516
369.6061,0.4494,369.6061,0.3788,369.6061,0.2279
369.8179,0.3767,369.8179,0.4296,369.8179,0.2628
370.0297,0.3356,370.0297,0.419,370.0297,0.2689
370.2415,0.4264,370.2415,0.4148,370.2415,0.2558
370.4532,0.4299,370.4532,0.4034,370.4532,0.2656
370.665,0.3736,370.665,0.4326,370.665,0.2182
370.8767,0.4998,370.8767,0.4286,370.8767,0.2438
371.0884,0.3043,371.0884,0.4474,371.0884,0.237
371.3001,0.35,371.3001,0.3734,371.3001,0.2561
371.5118,0.3409,371.5118,0.3898,371.5118,0.2635
371.7235,0.4132,371.7235,0.4119,371.7235,0.25
371.9352,0.3383,371.9352,0.4362,371.9352,0.2219
372.1469,0.3925,372.1469,0.4048,372.1469,0.2514
372.3585,0.3292,372.3585,0.4364,372.3585,0.2524
372.5702,0.3123,372.5702,0.4102,372.5702,0.2533
372.7818,0.381,372.7818,0.3969,372.7818,0.2246
372.9935,0.3013,372.9935,0.4009,372.9935,0.257
373.2051,0.4756,373.2051,0.4395,373.2051,0.236
373.4167,0.3852,373.4167,0.3958,373.4167,0.2544
373.6283,0.2653,373.6283,0.3883,373.6283,0.2343
373.8399,0.4194,373.8399,0.4194,373.8399,0.2604
374.0515,0.3858,374.0515,0.4023,374.0515,0.2253
