Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,3x Purification,3x Purification
346.0353,0,346.0353,-0.0458,346.0353,-0.2876
346.2482,0,346.2482,-0.0458,346.2482,-0.2876
346.4611,0,346.4611,-0.0458,346.4611,-0.2876
346.674,0,346.674,-0.6064,346.674,0
346.8868,0,346.8868,0,346.8868,0
347.0997,-0.1931,347.0997,2.1993,347.0997,-0.6674
347.3125,-0.2776,347.3125,0,347.3125,-0.1177
347.5254,-0.0972,347.5254,0,347.5254,0
347.7382,-0.3402,347.7382,0.2275,347.7382,-0.5115
347.951,0,347.951,-0.9205,347.951,0
348.1638,0.0672,348.1638,0,348.1638,-2.0473
348.3766,-0.4977,348.3766,-0.8256,348.3766,0.1815
348.5894,0.2118,348.5894,-0.0876,348.5894,0.0727
348.8022,-0.0029,348.8022,0.5093,348.8022,0.1344
349.015,0,349.015,0,349.015,0.0664
349.2277,0,349.2277,0.0858,349.2277,0.4682
349.4405,0.292,349.4405,0.906,349.4405,0
349.6532,-0.4185,349.6532,0.2603,349.6532,-0.1194
349.866,0.3189,349.866,0.3484,349.866,0.1374
350.0787,0.3119,350.0787,0.3727,350.0787,0.1286
350.2914,0.2945,350.2914,0.3684,350.2914,0.1036
350.5041,0.3477,350.5041,0.3695,350.5041,0.1032
350.7168,0.3424,350.7168,0.3478,350.7168,0.113
350.9295,0.2995,350.9295,0.3881,350.9295,0.1219
351.1421,0.2849,351.1421,0.3576,351.1421,0.1162
351.3548,0.2859,351.3548,0.3128,351.3548,0.1343
351.5675,0.3032,351.5675,0.3126,351.5675,0.1111
351.7801,0.3197,351.7801,0.3594,351.7801,0.1356
351.9927,0.3369,351.9927,0.3887,351.9927,0.1941
352.2053,0.3211,352.2053,0.3442,352.2053,0.1527
352.418,0.338,352.418,0.3478,352.418,0.1209
352.6306,0.3068,352.6306,0.33,352.6306,0.0962
352.8432,0.3243,352.8432,0.3534,352.8432,0.123
353.0557,0.2981,353.0557,0.3109,353.0557,0.1346
353.2683,0.3403,353.2683,0.3716,353.2683,0.1206
353.4809,0.2764,353.4809,0.321,353.4809,0.1324
353.6934,0.3404,353.6934,0.3011,353.6934,0.1299
353.906,0.2902,353.906,0.3528,353.906,0.1277
354.1185,0.3243,354.1185,0.3642,354.1185,0.1246
354.331,0.3155,354.331,0.2971,354.331,0.137
354.5435,0.3726,354.5435,0.3086,354.5435,0.1385
354.756,0.3512,354.756,0.3403,354.756,0.1117
354.9685,0.3375,354.9685,0.3452,354.9685,0.1301
355.181,0.3323,355.181,0.3601,355.181,0.1297
355.3935,0.3083,355.3935,0.3167,355.3935,0.1167
355.6059,0.3136,355.6059,0.3704,355.6059,0.1151
355.8184,0.3008,355.8184,0.3108,355.8184,0.1166
356.0308,0.3202,356.0308,0.3972,356.0308,0.1179
356.2433,0.329,356.2433,0.3812,356.2433,0.152
356.4557,0.3517,356.4557,0.3492,356.4557,0.1129
356.6681,0.3338,356.6681,0.3544,356.6681,0.1169
356.8805,0.3208,356.8805,0.3604,356.8805,0.16
357.0929,0.3404,357.0929,0.316,357.0929,0.1109
357.3053,0.3481,357.3053,0.2983,357.3053,0.1529
357.5176,0.3244,357.5176,0.3529,357.5176,0.12
357.73,0.3572,357.73,0.3591,357.73,0.1285
357.9424,0.3354,357.9424,0.351,357.9424,0.1068
358.1547,0.2788,358.1547,0.3013,358.1547,0.1199
358.367,0.2979,358.367,0.3246,358.367,0.1219
358.5793,0.2835,358.5793,0.2909,358.5793,0.1283
358.7917,0.3422,358.7917,0.3698,358.7917,0.1217
359.004,0.3307,359.004,0.3222,359.004,0.1178
359.2162,0.3365,359.2162,0.33,359.2162,0.1169
359.4285,0.3096,359.4285,0.3403,359.4285,0.1091
359.6408,0.3073,359.6408,0.3278,359.6408,0.1463
359.8531,0.3488,359.8531,0.343,359.8531,0.1136
360.0653,0.295,360.0653,0.3773,360.0653,0.1388
360.2776,0.3166,360.2776,0.3332,360.2776,0.1349
360.4898,0.3374,360.4898,0.3578,360.4898,0.106
360.702,0.3488,360.702,0.3572,360.702,0.1366
360.9142,0.3028,360.9142,0.3225,360.9142,0.1233
361.1264,0.3177,361.1264,0.2984,361.1264,0.128
361.3386,0.3398,361.3386,0.2796,361.3386,0.1113
361.5508,0.3514,361.5508,0.3151,361.5508,0.1516
361.763,0.3092,361.763,0.3692,361.763,0.1427
361.9751,0.3658,361.9751,0.3099,361.9751,0.1081
362.1873,0.3412,362.1873,0.3591,362.1873,0.1102
362.3994,0.3774,362.3994,0.3579,362.3994,0.1398
362.6115,0.2971,362.6115,0.3506,362.6115,0.1501
362.8237,0.3477,362.8237,0.348,362.8237,0.1255
363.0358,0.3179,363.0358,0.3634,363.0358,0.1794
363.2479,0.302,363.2479,0.3096,363.2479,0.1523
363.46,0.3233,363.46,0.342,363.46,0.1255
363.672,0.3181,363.672,0.2913,363.672,0.1218
363.8841,0.3354,363.8841,0.3323,363.8841,0.1259
364.0962,0.3279,364.0962,0.3409,364.0962,0.1137
