Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,6x Pure,6x Pure
346.0353,-0.0082,346.0353,0,346.0353,-0.4087
346.2482,-0.0082,346.2482,0,346.2482,-0.4087
346.4611,-0.0082,346.4611,0,346.4611,-0.4087
346.674,0,346.674,-0.264,346.674,-0.1664
346.8868,0.3923,346.8868,0,346.8868,0
347.0997,0.4902,347.0997,-0.0747,347.0997,-0.1593
347.3125,0.22,347.3125,-0.0478,347.3125,0.7718
347.5254,0.5577,347.5254,0,347.5254,0
347.7382,-0.2826,347.7382,0,347.7382,-1.5119
347.951,0.2414,347.951,0,347.951,0.2847
348.1638,0.4506,348.1638,0,348.1638,0
348.3766,-0.0197,348.3766,0.8789,348.3766,0.6184
348.5894,0.199,348.5894,-0.0352,348.5894,0
348.8022,0,348.8022,-0.0854,348.8022,0.2214
349.015,0,349.015,-1.2378,349.015,0
349.2277,-0.097,349.2277,-0.8517,349.2277,0.0563
349.4405,0.1643,349.4405,1.3096,349.4405,-0.3275
349.6532,0,349.6532,0,349.6532,-0.3619
349.866,0.2951,349.866,0.3027,349.866,0.0587
350.0787,0.3173,350.0787,0.2919,350.0787,0.1018
350.2914,0.2534,350.2914,0.2805,350.2914,0.08
350.5041,0.2617,350.5041,0.2677,350.5041,0.091
350.7168,0.2887,350.7168,0.3236,350.7168,0.0744
350.9295,0.3038,350.9295,0.2895,350.9295,0.0839
351.1421,0.2356,351.1421,0.3093,351.1421,0.0888
351.3548,0.2415,351.3548,0.3156,351.3548,0.1077
351.5675,0.2556,351.5675,0.2951,351.5675,0.1091
351.7801,0.2443,351.7801,0.288,351.7801,0.0629
351.9927,0.2796,351.9927,0.2585,351.9927,0.0763
352.2053,0.28,352.2053,0.2854,352.2053,0.0888
352.418,0.2339,352.418,0.2985,352.418,0.0552
352.6306,0.2975,352.6306,0.3011,352.6306,0.0668
352.8432,0.2292,352.8432,0.3217,352.8432,0.0599
353.0557,0.2172,353.0557,0.2972,353.0557,0.1034
353.2683,0.2449,353.2683,0.3012,353.2683,0.094
353.4809,0.2254,353.4809,0.3239,353.4809,0.0717
353.6934,0.2912,353.6934,0.2821,353.6934,0.0899
353.906,0.2541,353.906,0.3274,353.906,0.0558
354.1185,0.2609,354.1185,0.3089,354.1185,0.0744
354.331,0.2752,354.331,0.2696,354.331,0.1011
354.5435,0.2555,354.5435,0.2728,354.5435,0.0584
354.756,0.3076,354.756,0.3114,354.756,0.0952
354.9685,0.2305,354.9685,0.2505,354.9685,0.1143
355.181,0.2501,355.181,0.3201,355.181,0.0524
355.3935,0.3082,355.3935,0.2729,355.3935,0.0797
355.6059,0.2795,355.6059,0.3044,355.6059,0.0781
355.8184,0.2535,355.8184,0.2678,355.8184,0.0891
356.0308,0.2409,356.0308,0.3101,356.0308,0.09
356.2433,0.2756,356.2433,0.2819,356.2433,0.0883
356.4557,0.3011,356.4557,0.2837,356.4557,0.0845
356.6681,0.2317,356.6681,0.3792,356.6681,0.1138
356.8805,0.2386,356.8805,0.3272,356.8805,0.0902
357.0929,0.2741,357.0929,0.3631,357.0929,0.102
357.3053,0.2603,357.3053,0.2947,357.3053,0.1013
357.5176,0.2666,357.5176,0.3043,357.5176,0.0636
357.73,0.2734,357.73,0.3306,357.73,0.1006
357.9424,0.2547,357.9424,0.2837,357.9424,0.0684
358.1547,0.2518,358.1547,0.2673,358.1547,0.0749
358.367,0.2822,358.367,0.2822,358.367,0.0967
358.5793,0.2585,358.5793,0.2881,358.5793,0.0688
358.7917,0.3065,358.7917,0.3084,358.7917,0.0797
359.004,0.2499,359.004,0.3213,359.004,0.0999
359.2162,0.2424,359.2162,0.2793,359.2162,0.0696
359.4285,0.2813,359.4285,0.2592,359.4285,0.1197
359.6408,0.2492,359.6408,0.3017,359.6408,0.0925
359.8531,0.2195,359.8531,0.2677,359.8531,0.0974
360.0653,0.2427,360.0653,0.2891,360.0653,0.058
360.2776,0.2676,360.2776,0.3317,360.2776,0.0489
360.4898,0.2413,360.4898,0.243,360.4898,0.0967
360.702,0.2607,360.702,0.3248,360.702,0.0797
360.9142,0.2595,360.9142,0.2735,360.9142,0.0941
361.1264,0.2593,361.1264,0.2648,361.1264,0.0872
361.3386,0.2802,361.3386,0.2922,361.3386,0.086
361.5508,0.2819,361.5508,0.2945,361.5508,0.0747
361.763,0.2166,361.763,0.2938,361.763,0.0904
361.9751,0.2704,361.9751,0.3381,361.9751,0.0824
362.1873,0.2445,362.1873,0.262,362.1873,0.0803
362.3994,0.2187,362.3994,0.2793,362.3994,0.0743
362.6115,0.247,362.6115,0.2812,362.6115,0.0684
362.8237,0.23,362.8237,0.2558,362.8237,0.0837
