Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before SiO\-(2) Overcoating,Before SiO2 Overcoating,After SiO2 Overcoating,After SiO2 Overcoating,After 5x Purification,After 5x Purification
346.0353,0.382,346.0353,-0.3049,346.0353,0.3639
346.2482,0.382,346.2482,-0.3049,346.2482,0.3639
346.4611,0.382,346.4611,-0.3049,346.4611,0.3639
346.674,0.3799,346.674,0,346.674,0
346.8868,-0.0969,346.8868,0.2247,346.8868,-0.8128
347.0997,0.2963,347.0997,-0.5793,347.0997,1.8331
347.3125,0.1268,347.3125,-0.0832,347.3125,-0.7192
347.5254,-0.7553,347.5254,-0.9246,347.5254,0.3384
347.7382,0,347.7382,-0.013,347.7382,-0.4991
347.951,-0.3444,347.951,0.0852,347.951,0
348.1638,0,348.1638,0,348.1638,0.392
348.3766,-1.1036,348.3766,0.1463,348.3766,0.022
348.5894,-0.4994,348.5894,0,348.5894,1.2616
348.8022,0.4292,348.8022,0.0329,348.8022,0.4291
349.015,0,349.015,0,349.015,0.3826
349.2277,0,349.2277,0,349.2277,0.0909
349.4405,0.6315,349.4405,0.5494,349.4405,-0.3063
349.6532,-0.0678,349.6532,-0.334,349.6532,0.8173
349.866,0.3541,349.866,0.2024,349.866,0.1857
350.0787,0.3767,350.0787,0.1983,350.0787,0.1355
350.2914,0.4243,350.2914,0.1947,350.2914,0.1324
350.5041,0.4035,350.5041,0.1828,350.5041,0.1133
350.7168,0.4197,350.7168,0.199,350.7168,0.1114
350.9295,0.3689,350.9295,0.1892,350.9295,0.1299
351.1421,0.4233,351.1421,0.1855,351.1421,0.134
351.3548,0.3839,351.3548,0.1786,351.3548,0.1126
351.5675,0.3676,351.5675,0.1946,351.5675,0.1332
351.7801,0.3852,351.7801,0.2064,351.7801,0.1303
351.9927,0.3515,351.9927,0.2254,351.9927,0.1448
352.2053,0.3579,352.2053,0.1881,352.2053,0.1384
352.418,0.3726,352.418,0.1713,352.418,0.138
352.6306,0.3614,352.6306,0.1726,352.6306,0.127
352.8432,0.3238,352.8432,0.2208,352.8432,0.1199
353.0557,0.359,353.0557,0.1854,353.0557,0.1269
353.2683,0.3314,353.2683,0.2012,353.2683,0.1476
