Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,3x Purification,3x Purification
346.0353,0,346.0353,1.0005,346.0353,0.241
346.2482,0,346.2482,1.0005,346.2482,0.241
346.4611,0,346.4611,1.0005,346.4611,0.241
346.674,0,346.674,-0.2572,346.674,0
346.8868,0,346.8868,0.3085,346.8868,0.5921
347.0997,-0.1931,347.0997,0,347.0997,0
347.3125,-0.2776,347.3125,0.2779,347.3125,-0.3679
347.5254,-0.0972,347.5254,0.15,347.5254,-0.3679
347.7382,-0.3402,347.7382,0.0536,347.7382,0
347.951,0,347.951,0,347.951,0.3199
348.1638,0.0672,348.1638,0.8421,348.1638,-0.342
348.3766,-0.4977,348.3766,0,348.3766,0.0013
348.5894,0.2118,348.5894,-0.2421,348.5894,0.6456
348.8022,-0.0029,348.8022,-0.3312,348.8022,-0.6951
349.015,0,349.015,0.9082,349.015,0
349.2277,0,349.2277,0,349.2277,0.5841
349.4405,0.292,349.4405,0.5141,349.4405,0.0972
349.6532,-0.4185,349.6532,0,349.6532,0
349.866,0.3189,349.866,0.3247,349.866,0.1271
350.0787,0.3119,350.0787,0.4358,350.0787,0.1383
350.2914,0.2945,350.2914,0.3142,350.2914,0.1467
350.5041,0.3477,350.5041,0.2972,350.5041,0.1412
350.7168,0.3424,350.7168,0.3944,350.7168,0.1133
350.9295,0.2995,350.9295,0.3331,350.9295,0.1272
351.1421,0.2849,351.1421,0.3453,351.1421,0.1715
351.3548,0.2859,351.3548,0.3385,351.3548,0.1854
351.5675,0.3032,351.5675,0.404,351.5675,0.1568
351.7801,0.3197,351.7801,0.3485,351.7801,0.1676
351.9927,0.3369,351.9927,0.3421,351.9927,0.1399
352.2053,0.3211,352.2053,0.3593,352.2053,0.1746
352.418,0.338,352.418,0.3216,352.418,0.1323
352.6306,0.3068,352.6306,0.3165,352.6306,0.1528
352.8432,0.3243,352.8432,0.3885,352.8432,0.1466
353.0557,0.2981,353.0557,0.362,353.0557,0.1597
353.2683,0.3403,353.2683,0.3658,353.2683,0.161
353.4809,0.2764,353.4809,0.374,353.4809,0.1774
353.6934,0.3404,353.6934,0.3424,353.6934,0.1693
353.906,0.2902,353.906,0.3716,353.906,0.1731
354.1185,0.3243,354.1185,0.3809,354.1185,0.1087
354.331,0.3155,354.331,0.3569,354.331,0.1061
354.5435,0.3726,354.5435,0.3455,354.5435,0.1618
354.756,0.3512,354.756,0.3488,354.756,0.144
354.9685,0.3375,354.9685,0.2907,354.9685,0.1479
355.181,0.3323,355.181,0.3156,355.181,0.1703
355.3935,0.3083,355.3935,0.3314,355.3935,0.1857
355.6059,0.3136,355.6059,0.3452,355.6059,0.2113
355.8184,0.3008,355.8184,0.3598,355.8184,0.1513
356.0308,0.3202,356.0308,0.3247,356.0308,0.1296
356.2433,0.329,356.2433,0.3717,356.2433,0.1644
356.4557,0.3517,356.4557,0.3358,356.4557,0.1513
356.6681,0.3338,356.6681,0.4198,356.6681,0.1467
356.8805,0.3208,356.8805,0.3329,356.8805,0.119
357.0929,0.3404,357.0929,0.3796,357.0929,0.1533
357.3053,0.3481,357.3053,0.3656,357.3053,0.1448
357.5176,0.3244,357.5176,0.3434,357.5176,0.1292
357.73,0.3572,357.73,0.3847,357.73,0.1549
357.9424,0.3354,357.9424,0.3599,357.9424,0.1392
358.1547,0.2788,358.1547,0.3318,358.1547,0.1639
358.367,0.2979,358.367,0.3618,358.367,0.1556
358.5793,0.2835,358.5793,0.3379,358.5793,0.1537
358.7917,0.3422,358.7917,0.3763,358.7917,0.1403
359.004,0.3307,359.004,0.3297,359.004,0.1438
359.2162,0.3365,359.2162,0.3479,359.2162,0.1491
359.4285,0.3096,359.4285,0.377,359.4285,0.1235
359.6408,0.3073,359.6408,0.3338,359.6408,0.1504
359.8531,0.3488,359.8531,0.3806,359.8531,0.1603
360.0653,0.295,360.0653,0.3322,360.0653,0.1436
360.2776,0.3166,360.2776,0.3759,360.2776,0.1602
360.4898,0.3374,360.4898,0.3114,360.4898,0.1677
360.702,0.3488,360.702,0.375,360.702,0.1563
360.9142,0.3028,360.9142,0.3449,360.9142,0.1315
361.1264,0.3177,361.1264,0.2995,361.1264,0.152
361.3386,0.3398,361.3386,0.353,361.3386,0.156
361.5508,0.3514,361.5508,0.3657,361.5508,0.1373
361.763,0.3092,361.763,0.3883,361.763,0.1438
361.9751,0.3658,361.9751,0.3792,361.9751,0.1565
362.1873,0.3412,362.1873,0.3776,362.1873,0.1425
362.3994,0.3774,362.3994,0.4193,362.3994,0.1625
362.6115,0.2971,362.6115,0.3218,362.6115,0.1516
362.8237,0.3477,362.8237,0.3276,362.8237,0.1354
363.0358,0.3179,363.0358,0.3774,363.0358,0.1425
363.2479,0.302,363.2479,0.3477,363.2479,0.1566
363.46,0.3233,363.46,0.3679,363.46,0.1263
363.672,0.3181,363.672,0.3703,363.672,0.1398
363.8841,0.3354,363.8841,0.3205,363.8841,0.1461
364.0962,0.3279,364.0962,0.3352,364.0962,0.1554
