Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
"Initial, Bare GNRs","Initial, Bare GNRs",Post-SiO2 Overcoat,Post-SiO2 Overcoat,Post 5x Purification,Post 5x Purification
346.0353,-0.3624,346.0353,-0.0837,346.0353,0
346.2482,-0.3624,346.2482,-0.0837,346.2482,0
346.4611,-0.3624,346.4611,-0.0837,346.4611,0
346.674,0,346.674,-0.0327,346.674,0.0331
346.8868,0.2785,346.8868,-1.0037,346.8868,0
347.0997,-0.8242,347.0997,0.1086,347.0997,-1.3983
347.3125,0,347.3125,-0.5266,347.3125,0.0886
347.5254,0,347.5254,0.0498,347.5254,0.7452
347.7382,0.0059,347.7382,-0.2083,347.7382,-0.3383
347.951,0.2975,347.951,0.1035,347.951,0.0619
348.1638,0,348.1638,-0.6062,348.1638,0
348.3766,-0.0899,348.3766,-0.8682,348.3766,0.0782
348.5894,-0.4593,348.5894,-0.0559,348.5894,0
348.8022,-1.5895,348.8022,0,348.8022,-1.1001
349.015,0.2501,349.015,-0.1117,349.015,0.0182
349.2277,0.0464,349.2277,-0.3344,349.2277,0.1485
349.4405,0,349.4405,9.00E-04,349.4405,1.2166
349.6532,0,349.6532,-0.1377,349.6532,0
349.866,0.4266,349.866,0.2565,349.866,0.1216
350.0787,0.3614,350.0787,0.317,350.0787,0.1539
350.2914,0.539,350.2914,0.3251,350.2914,0.1681
350.5041,0.3816,350.5041,0.2846,350.5041,0.1918
350.7168,0.3861,350.7168,0.2766,350.7168,0.1992
350.9295,0.4104,350.9295,0.2523,350.9295,0.2023
351.1421,0.399,351.1421,0.2926,351.1421,0.1541
351.3548,0.4252,351.3548,0.2835,351.3548,0.1751
351.5675,0.5211,351.5675,0.2639,351.5675,0.1442
351.7801,0.4188,351.7801,0.2686,351.7801,0.1687
351.9927,0.3589,351.9927,0.307,351.9927,0.1828
352.2053,0.3818,352.2053,0.2646,352.2053,0.1964
352.418,0.3822,352.418,0.2506,352.418,0.167
352.6306,0.4505,352.6306,0.3227,352.6306,0.1865
352.8432,0.3672,352.8432,0.2977,352.8432,0.1785
353.0557,0.4016,353.0557,0.2764,353.0557,0.1582
353.2683,0.4028,353.2683,0.3091,353.2683,0.1977
353.4809,0.4182,353.4809,0.269,353.4809,0.1802
353.6934,0.3883,353.6934,0.2763,353.6934,0.1891
353.906,0.4988,353.906,0.314,353.906,0.1933
354.1185,0.3582,354.1185,0.3076,354.1185,0.2082
354.331,0.4531,354.331,0.2584,354.331,0.1312
354.5435,0.4414,354.5435,0.2884,354.5435,0.1945
354.756,0.3842,354.756,0.2709,354.756,0.2194
354.9685,0.4631,354.9685,0.3037,354.9685,0.169
355.181,0.499,355.181,0.2729,355.181,0.1595
355.3935,0.3931,355.3935,0.3036,355.3935,0.1851
355.6059,0.4207,355.6059,0.3023,355.6059,0.1572
355.8184,0.399,355.8184,0.2571,355.8184,0.1577
356.0308,0.3679,356.0308,0.265,356.0308,0.1701
356.2433,0.3756,356.2433,0.2843,356.2433,0.1854
356.4557,0.3923,356.4557,0.2715,356.4557,0.1484
356.6681,0.3984,356.6681,0.2973,356.6681,0.1597
356.8805,0.3906,356.8805,0.2453,356.8805,0.1483
357.0929,0.3659,357.0929,0.321,357.0929,0.1764
357.3053,0.4387,357.3053,0.2791,357.3053,0.1452
357.5176,0.3997,357.5176,0.279,357.5176,0.1751
357.73,0.4603,357.73,0.2582,357.73,0.1613
357.9424,0.429,357.9424,0.2745,357.9424,0.1771
358.1547,0.3979,358.1547,0.304,358.1547,0.1833
358.367,0.4302,358.367,0.3022,358.367,0.1809
358.5793,0.4065,358.5793,0.239,358.5793,0.1863
358.7917,0.3883,358.7917,0.3022,358.7917,0.2039
359.004,0.4059,359.004,0.2955,359.004,0.1348
359.2162,0.3918,359.2162,0.2763,359.2162,0.1681
359.4285,0.4547,359.4285,0.2934,359.4285,0.1716
359.6408,0.3463,359.6408,0.2785,359.6408,0.1365
359.8531,0.4285,359.8531,0.3142,359.8531,0.1453
360.0653,0.3656,360.0653,0.3002,360.0653,0.2063
360.2776,0.4509,360.2776,0.2819,360.2776,0.1565
360.4898,0.3232,360.4898,0.3281,360.4898,0.1978
360.702,0.3895,360.702,0.3178,360.702,0.1439
360.9142,0.4162,360.9142,0.2534,360.9142,0.181
361.1264,0.4598,361.1264,0.249,361.1264,0.1908
