Wavelength,Absorabnce,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
368.7589,0.3679,368.7589,0.3715,368.7589,0.2137
368.9707,0.3869,368.9707,0.4709,368.9707,0.2338
369.1825,0.3322,369.1825,0.3958,369.1825,0.2271
369.3943,0.3598,369.3943,0.4198,369.3943,0.2276
369.6061,0.3735,369.6061,0.4206,369.6061,0.1839
369.8179,0.3602,369.8179,0.4196,369.8179,0.2138
370.0297,0.3649,370.0297,0.3789,370.0297,0.234
370.2415,0.3516,370.2415,0.4392,370.2415,0.2328
370.4532,0.3488,370.4532,0.3932,370.4532,0.2278
370.665,0.3437,370.665,0.4059,370.665,0.2024
370.8767,0.3865,370.8767,0.4274,370.8767,0.2318
371.0884,0.3421,371.0884,0.3985,371.0884,0.1947
371.3001,0.317,371.3001,0.4043,371.3001,0.1909
371.5118,0.3411,371.5118,0.4323,371.5118,0.2105
371.7235,0.3333,371.7235,0.4058,371.7235,0.2562
371.9352,0.3572,371.9352,0.428,371.9352,0.2064
372.1469,0.3522,372.1469,0.4047,372.1469,0.2025
372.3585,0.3574,372.3585,0.3978,372.3585,0.2376
372.5702,0.3729,372.5702,0.3786,372.5702,0.194
372.7818,0.3605,372.7818,0.3861,372.7818,0.228
372.9935,0.3274,372.9935,0.4077,372.9935,0.209
373.2051,0.3459,373.2051,0.3829,373.2051,0.2262
373.4167,0.3661,373.4167,0.4882,373.4167,0.2337
373.6283,0.3708,373.6283,0.4143,373.6283,0.2305
373.8399,0.3481,373.8399,0.4123,373.8399,0.2246
374.0515,0.3593,374.0515,0.4457,374.0515,0.2282
374.263,0.3699,374.263,0.4156,374.263,0.2129
374.4746,0.3672,374.4746,0.3919,374.4746,0.2188
374.6862,0.336,374.6862,0.385,374.6862,0.2254
374.8977,0.3661,374.8977,0.4017,374.8977,0.1938
375.1092,0.3244,375.1092,0.4219,375.1092,0.2175
375.3207,0.3733,375.3207,0.3912,375.3207,0.1937
375.5323,0.3565,375.5323,0.4123,375.5323,0.2262
375.7438,0.3398,375.7438,0.4022,375.7438,0.2394
375.9552,0.3568,375.9552,0.3873,375.9552,0.2276
376.1667,0.2552,376.1667,0.4007,376.1667,0.2086
376.3782,0.3371,376.3782,0.3924,376.3782,0.2139
376.5896,0.3756,376.5896,0.3939,376.5896,0.2109
376.8011,0.3331,376.8011,0.4322,376.8011,0.2183
377.0125,0.3568,377.0125,0.4135,377.0125,0.2115
377.224,0.3622,377.224,0.4095,377.224,0.2196
377.4354,0.3512,377.4354,0.3909,377.4354,0.2273
377.6468,0.3628,377.6468,0.3966,377.6468,0.2238
377.8582,0.3527,377.8582,0.3771,377.8582,0.2425
378.0696,0.3556,378.0696,0.3899,378.0696,0.2198
378.2809,0.3462,378.2809,0.4084,378.2809,0.224
378.4923,0.3622,378.4923,0.4022,378.4923,0.2215
378.7037,0.3719,378.7037,0.3986,378.7037,0.2513
378.915,0.3752,378.915,0.4239,378.915,0.2153
379.1263,0.3482,379.1263,0.4179,379.1263,0.2265
379.3377,0.361,379.3377,0.4195,379.3377,0.2252
379.549,0.3603,379.549,0.4277,379.549,0.2196
379.7603,0.3773,379.7603,0.3972,379.7603,0.2116
379.9716,0.3534,379.9716,0.4116,379.9716,0.2141
380.1829,0.3701,380.1829,0.4011,380.1829,0.2294
380.3941,0.3556,380.3941,0.4186,380.3941,0.2194
380.6054,0.349,380.6054,0.4317,380.6054,0.2271
380.8166,0.3933,380.8166,0.3785,380.8166,0.2214
381.0279,0.3558,381.0279,0.4104,381.0279,0.212
381.2391,0.3576,381.2391,0.4176,381.2391,0.235
381.4503,0.3727,381.4503,0.407,381.4503,0.2187
381.6615,0.3486,381.6615,0.4023,381.6615,0.2172
381.8727,0.3334,381.8727,0.4268,381.8727,0.2136
382.0839,0.3542,382.0839,0.4207,382.0839,0.2108
382.2951,0.3729,382.2951,0.4084,382.2951,0.2424
382.5063,0.3764,382.5063,0.4023,382.5063,0.2056
382.7174,0.3774,382.7174,0.4089,382.7174,0.2171
382.9286,0.3493,382.9286,0.413,382.9286,0.2205
383.1397,0.3617,383.1397,0.4104,383.1397,0.2205
383.3509,0.3605,383.3509,0.4116,383.3509,0.2312
383.562,0.3652,383.562,0.4158,383.562,0.2212
383.7731,0.3784,383.7731,0.4099,383.7731,0.2049
383.9842,0.368,383.9842,0.4188,383.9842,0.2196
384.1953,0.3643,384.1953,0.4025,384.1953,0.2134
384.4063,0.3783,384.4063,0.4119,384.4063,0.2095
384.6174,0.3702,384.6174,0.4034,384.6174,0.2228
384.8285,0.353,384.8285,0.4097,384.8285,0.2194
385.0395,0.3758,385.0395,0.4031,385.0395,0.2174
385.2505,0.3633,385.2505,0.3903,385.2505,0.2207
385.4616,0.3662,385.4616,0.4161,385.4616,0.2369
385.6726,0.3672,385.6726,0.3929,385.6726,0.2219
385.8836,0.3685,385.8836,0.405,385.8836,0.2169
386.0946,0.3527,386.0946,0.399,386.0946,0.2278
