Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,0,346.0353,0,346.0353,0.453
346.2482,0,346.2482,0,346.2482,0.453
346.4611,0,346.4611,0,346.4611,0.453
346.674,1.2244,346.674,-0.9191,346.674,-1.1467
346.8868,0,346.8868,-0.2867,346.8868,0.1944
347.0997,0,347.0997,0,347.0997,0
347.3125,0.8781,347.3125,0.0294,347.3125,0.2017
347.5254,0.5956,347.5254,0.3076,347.5254,0
347.7382,0,347.7382,0,347.7382,-0.6441
347.951,0,347.951,0,347.951,0
348.1638,-0.4933,348.1638,0.6067,348.1638,0.5471
348.3766,-0.3479,348.3766,0,348.3766,0
348.5894,-0.1228,348.5894,0.1983,348.5894,0.4357
348.8022,0,348.8022,0,348.8022,-2.1038
349.015,0,349.015,0,349.015,-0.3845
349.2277,0.219,349.2277,-0.115,349.2277,0.1436
349.4405,0.0403,349.4405,-0.2034,349.4405,1.4351
349.6532,0.412,349.6532,0,349.6532,0.2385
349.866,0.2376,349.866,0.2398,349.866,0.1955
350.0787,0.2973,350.0787,0.3006,350.0787,0.1657
350.2914,0.2775,350.2914,0.2236,350.2914,0.1584
350.5041,0.2442,350.5041,0.239,350.5041,0.1643
350.7168,0.2693,350.7168,0.2525,350.7168,0.1421
350.9295,0.2786,350.9295,0.2362,350.9295,0.1577
351.1421,0.2948,351.1421,0.2756,351.1421,0.1376
351.3548,0.2142,351.3548,0.2732,351.3548,0.1404
351.5675,0.2493,351.5675,0.2434,351.5675,0.1284
351.7801,0.2572,351.7801,0.2196,351.7801,0.1515
351.9927,0.2945,351.9927,0.2457,351.9927,0.1769
352.2053,0.235,352.2053,0.2711,352.2053,0.1576
352.418,0.2982,352.418,0.2483,352.418,0.1579
352.6306,0.2276,352.6306,0.2355,352.6306,0.1672
352.8432,0.3533,352.8432,0.2425,352.8432,0.1691
353.0557,0.2893,353.0557,0.2935,353.0557,0.1611
353.2683,0.253,353.2683,0.2652,353.2683,0.1426
353.4809,0.2377,353.4809,0.2427,353.4809,0.1487
353.6934,0.2788,353.6934,0.1997,353.6934,0.1296
353.906,0.2791,353.906,0.2424,353.906,0.1743
354.1185,0.2766,354.1185,0.2243,354.1185,0.1544
354.331,0.2877,354.331,0.2057,354.331,0.1589
354.5435,0.2163,354.5435,0.2834,354.5435,0.1879
354.756,0.2563,354.756,0.278,354.756,0.1904
354.9685,0.2534,354.9685,0.2617,354.9685,0.1467
355.181,0.307,355.181,0.2342,355.181,0.1752
355.3935,0.2639,355.3935,0.2638,355.3935,0.1824
355.6059,0.26,355.6059,0.242,355.6059,0.1809
355.8184,0.3154,355.8184,0.2211,355.8184,0.1415
356.0308,0.2804,356.0308,0.2362,356.0308,0.1478
356.2433,0.2764,356.2433,0.2918,356.2433,0.1527
356.4557,0.2862,356.4557,0.275,356.4557,0.1782
356.6681,0.257,356.6681,0.196,356.6681,0.1624
356.8805,0.2563,356.8805,0.264,356.8805,0.1424
357.0929,0.3037,357.0929,0.2954,357.0929,0.1216
357.3053,0.2562,357.3053,0.2256,357.3053,0.158
357.5176,0.2867,357.5176,0.2573,357.5176,0.1842
357.73,0.2538,357.73,0.2259,357.73,0.1891
357.9424,0.2694,357.9424,0.2392,357.9424,0.1303
358.1547,0.2781,358.1547,0.2317,358.1547,0.1657
358.367,0.2938,358.367,0.2597,358.367,0.1668
358.5793,0.27,358.5793,0.2197,358.5793,0.1546
358.7917,0.2675,358.7917,0.2428,358.7917,0.1531
359.004,0.2651,359.004,0.2726,359.004,0.1566
359.2162,0.257,359.2162,0.2991,359.2162,0.1695
359.4285,0.2646,359.4285,0.2371,359.4285,0.1241
359.6408,0.2248,359.6408,0.2615,359.6408,0.1496
359.8531,0.2621,359.8531,0.2616,359.8531,0.1625
360.0653,0.2644,360.0653,0.2782,360.0653,0.163
360.2776,0.2423,360.2776,0.2794,360.2776,0.1546
360.4898,0.2686,360.4898,0.2434,360.4898,0.1808
360.702,0.2564,360.702,0.2154,360.702,0.161
360.9142,0.2473,360.9142,0.2353,360.9142,0.1626
361.1264,0.2783,361.1264,0.2403,361.1264,0.1521
361.3386,0.2581,361.3386,0.233,361.3386,0.1844
361.5508,0.2731,361.5508,0.2063,361.5508,0.1501
361.763,0.2484,361.763,0.2484,361.763,0.1761
361.9751,0.2542,361.9751,0.2379,361.9751,0.1556
362.1873,0.2633,362.1873,0.2501,362.1873,0.1604
362.3994,0.2645,362.3994,0.2031,362.3994,0.1714
362.6115,0.2817,362.6115,0.2417,362.6115,0.1575
362.8237,0.2618,362.8237,0.2238,362.8237,0.1665
363.0358,0.2609,363.0358,0.2457,363.0358,0.1735
363.2479,0.2681,363.2479,0.2082,363.2479,0.1729
363.46,0.246,363.46,0.2281,363.46,0.2011
363.672,0.2953,363.672,0.2431,363.672,0.1444
363.8841,0.2504,363.8841,0.2818,363.8841,0.1415
364.0962,0.2758,364.0962,0.2514,364.0962,0.1639
364.3082,0.2696,364.3082,0.2342,364.3082,0.1634
364.5202,0.2542,364.5202,0.2585,364.5202,0.1641
364.7323,0.2403,364.7323,0.2454,364.7323,0.1416
364.9443,0.2305,364.9443,0.2841,364.9443,0.1535
365.1563,0.2531,365.1563,0.2541,365.1563,0.1757
365.3683,0.263,365.3683,0.2012,365.3683,0.1719
365.5803,0.2626,365.5803,0.2721,365.5803,0.1555
365.7923,0.2557,365.7923,0.2426,365.7923,0.1566
366.0042,0.2632,366.0042,0.2438,366.0042,0.1808
366.2162,0.279,366.2162,0.2326,366.2162,0.1522
366.4281,0.3026,366.4281,0.2532,366.4281,0.1722
366.6401,0.2653,366.6401,0.2427,366.6401,0.1504
366.852,0.2608,366.852,0.2629,366.852,0.1762
367.0639,0.2704,367.0639,0.2323,367.0639,0.1686
367.2758,0.2827,367.2758,0.2343,367.2758,0.1566
367.4877,0.26,367.4877,0.2337,367.4877,0.1577
367.6996,0.2612,367.6996,0.2486,367.6996,0.1711
367.9115,0.2724,367.9115,0.2567,367.9115,0.1645
368.1234,0.2403,368.1234,0.2253,368.1234,0.1655
368.3352,0.2648,368.3352,0.2563,368.3352,0.1611
368.5471,0.251,368.5471,0.2509,368.5471,0.1651
368.7589,0.25,368.7589,0.242,368.7589,0.1806
368.9707,0.297,368.9707,0.2369,368.9707,0.1563
369.1825,0.284,369.1825,0.2746,369.1825,0.1786
369.3943,0.2456,369.3943,0.2627,369.3943,0.1487
369.6061,0.273,369.6061,0.2359,369.6061,0.1723
369.8179,0.2661,369.8179,0.2449,369.8179,0.1571
370.0297,0.2523,370.0297,0.2429,370.0297,0.1647
370.2415,0.2626,370.2415,0.2458,370.2415,0.1718
370.4532,0.2768,370.4532,0.2281,370.4532,0.1623
370.665,0.2546,370.665,0.247,370.665,0.1396
370.8767,0.2782,370.8767,0.257,370.8767,0.151
371.0884,0.2515,371.0884,0.2624,371.0884,0.1576
371.3001,0.2719,371.3001,0.2391,371.3001,0.1671
371.5118,0.2577,371.5118,0.266,371.5118,0.1599
371.7235,0.265,371.7235,0.2495,371.7235,0.1559
371.9352,0.2682,371.9352,0.2407,371.9352,0.1556
372.1469,0.2492,372.1469,0.2336,372.1469,0.1579
372.3585,0.2605,372.3585,0.278,372.3585,0.1562
372.5702,0.2744,372.5702,0.2547,372.5702,0.1548
372.7818,0.2506,372.7818,0.2148,372.7818,0.167
372.9935,0.2481,372.9935,0.2619,372.9935,0.1621
373.2051,0.273,373.2051,0.2525,373.2051,0.1672
373.4167,0.2666,373.4167,0.2466,373.4167,0.1461
373.6283,0.2601,373.6283,0.2418,373.6283,0.1398
373.8399,0.2619,373.8399,0.2419,373.8399,0.1522
374.0515,0.2572,374.0515,0.2403,374.0515,0.1607
374.263,0.2853,374.263,0.2353,374.263,0.1579
