Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,After Purification,After Purification
346.0353,0,346.0353,0,346.0353,0
346.2482,0,346.2482,0,346.2482,0
346.4611,0,346.4611,0,346.4611,0
346.674,-0.2688,346.674,-0.8754,346.674,0
346.8868,-0.5787,346.8868,-0.0455,346.8868,0.9823
347.0997,0.191,347.0997,-0.1705,347.0997,0.6218
347.3125,0.4279,347.3125,0,347.3125,0.0136
347.5254,0.3338,347.5254,0,347.5254,0.8449
347.7382,0,347.7382,0,347.7382,0
347.951,0,347.951,0.2313,347.951,-0.1807
348.1638,0,348.1638,1.6351,348.1638,2.0237
348.3766,-0.0469,348.3766,0,348.3766,0.0718
348.5894,-0.5662,348.5894,-0.6256,348.5894,-0.0292
348.8022,-0.0431,348.8022,0,348.8022,-0.0664
349.015,0,349.015,-0.1295,349.015,0
349.2277,1.2287,349.2277,-1.1784,349.2277,0
349.4405,0,349.4405,2.4045,349.4405,-1.3465
349.6532,0,349.6532,0,349.6532,-0.422
349.866,0.4295,349.866,0.3989,349.866,0.1473
350.0787,0.3892,350.0787,0.3687,350.0787,0.1881
350.2914,0.3773,350.2914,0.3713,350.2914,0.1934
350.5041,0.3878,350.5041,0.3592,350.5041,0.1708
350.7168,0.3649,350.7168,0.3929,350.7168,0.1765
350.9295,0.3592,350.9295,0.2773,350.9295,0.1783
351.1421,0.3508,351.1421,0.3301,351.1421,0.1872
351.3548,0.3939,351.3548,0.3844,351.3548,0.1923
351.5675,0.3818,351.5675,0.3827,351.5675,0.2155
351.7801,0.4253,351.7801,0.3549,351.7801,0.1707
351.9927,0.3406,351.9927,0.3593,351.9927,0.1783
352.2053,0.3891,352.2053,0.3759,352.2053,0.1717
352.418,0.3739,352.418,0.3947,352.418,0.133
352.6306,0.3582,352.6306,0.3407,352.6306,0.1925
352.8432,0.3468,352.8432,0.3811,352.8432,0.1979
353.0557,0.3313,353.0557,0.366,353.0557,0.183
353.2683,0.3694,353.2683,0.3552,353.2683,0.2001
353.4809,0.3369,353.4809,0.3305,353.4809,0.1401
353.6934,0.3747,353.6934,0.3392,353.6934,0.212
353.906,0.3275,353.906,0.3908,353.906,0.1882
354.1185,0.3648,354.1185,0.3766,354.1185,0.1677
354.331,0.4065,354.331,0.3979,354.331,0.1495
354.5435,0.3953,354.5435,0.3595,354.5435,0.1834
