Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,0.2338,346.0353,0,346.0353,0.2455
346.2482,0.2338,346.2482,0,346.2482,0.2455
346.4611,0.2338,346.4611,0,346.4611,0.2455
346.674,0.1376,346.674,-0.2418,346.674,1.0721
346.8868,0,346.8868,-0.6395,346.8868,-0.2357
347.0997,0.0483,347.0997,0,347.0997,0
347.3125,0,347.3125,-0.4238,347.3125,0
347.5254,-0.2175,347.5254,0.256,347.5254,-0.6181
347.7382,-0.3069,347.7382,-0.3078,347.7382,0.4638
347.951,0,347.951,-0.1675,347.951,-0.4996
348.1638,0,348.1638,0.1124,348.1638,0
348.3766,-0.0732,348.3766,0.0659,348.3766,-0.1023
348.5894,0,348.5894,0,348.5894,-1.1268
348.8022,0.1299,348.8022,0,348.8022,0.0892
349.015,0.5884,349.015,0,349.015,-0.0398
349.2277,0.1301,349.2277,0,349.2277,0
349.4405,-0.5177,349.4405,0,349.4405,-0.5971
349.6532,0,349.6532,0.0437,349.6532,0.2066
349.866,0.3622,349.866,0.314,349.866,0.3476
350.0787,0.3073,350.0787,0.3743,350.0787,0.3182
350.2914,0.3487,350.2914,0.3416,350.2914,0.2777
350.5041,0.3389,350.5041,0.3606,350.5041,0.2856
350.7168,0.3569,350.7168,0.3442,350.7168,0.2935
350.9295,0.3319,350.9295,0.3558,350.9295,0.2785
351.1421,0.3605,351.1421,0.3374,351.1421,0.3108
351.3548,0.3511,351.3548,0.3348,351.3548,0.3047
351.5675,0.3547,351.5675,0.3198,351.5675,0.3319
351.7801,0.3884,351.7801,0.2592,351.7801,0.2883
351.9927,0.3743,351.9927,0.3185,351.9927,0.3142
352.2053,0.3919,352.2053,0.2853,352.2053,0.3263
352.418,0.3675,352.418,0.3451,352.418,0.266
352.6306,0.3773,352.6306,0.364,352.6306,0.2427
352.8432,0.3298,352.8432,0.2686,352.8432,0.2215
353.0557,0.3342,353.0557,0.3345,353.0557,0.3005
353.2683,0.4601,353.2683,0.3297,353.2683,0.2793
353.4809,0.3915,353.4809,0.3036,353.4809,0.2874
353.6934,0.3039,353.6934,0.2996,353.6934,0.2776
353.906,0.3825,353.906,0.3253,353.906,0.3385
354.1185,0.3773,354.1185,0.3128,354.1185,0.3081
354.331,0.344,354.331,0.3438,354.331,0.3188
354.5435,0.3375,354.5435,0.2843,354.5435,0.2877
354.756,0.3209,354.756,0.3718,354.756,0.2847
354.9685,0.3496,354.9685,0.2878,354.9685,0.2646
355.181,0.357,355.181,0.3547,355.181,0.3022
355.3935,0.371,355.3935,0.2987,355.3935,0.2571
355.6059,0.3704,355.6059,0.2903,355.6059,0.3273
355.8184,0.3768,355.8184,0.3218,355.8184,0.2637
356.0308,0.3369,356.0308,0.324,356.0308,0.2844
356.2433,0.3805,356.2433,0.3655,356.2433,0.2826
356.4557,0.3235,356.4557,0.3406,356.4557,0.237
356.6681,0.3512,356.6681,0.3177,356.6681,0.3067
356.8805,0.354,356.8805,0.319,356.8805,0.275
357.0929,0.3495,357.0929,0.2645,357.0929,0.3307
357.3053,0.3687,357.3053,0.3303,357.3053,0.3112
357.5176,0.3024,357.5176,0.3446,357.5176,0.286
357.73,0.3824,357.73,0.2948,357.73,0.3065
357.9424,0.3339,357.9424,0.2804,357.9424,0.3046
358.1547,0.3092,358.1547,0.3065,358.1547,0.2897
358.367,0.3146,358.367,0.3026,358.367,0.2502
358.5793,0.3393,358.5793,0.3169,358.5793,0.278
358.7917,0.3555,358.7917,0.3588,358.7917,0.3054
359.004,0.3697,359.004,0.3895,359.004,0.2667
359.2162,0.3572,359.2162,0.2584,359.2162,0.3063
359.4285,0.3996,359.4285,0.2941,359.4285,0.2985
359.6408,0.3084,359.6408,0.3339,359.6408,0.283
359.8531,0.3319,359.8531,0.3148,359.8531,0.2555
360.0653,0.3422,360.0653,0.3121,360.0653,0.2804
360.2776,0.3684,360.2776,0.2982,360.2776,0.232
360.4898,0.3595,360.4898,0.3296,360.4898,0.303
360.702,0.3509,360.702,0.2992,360.702,0.3109
360.9142,0.3492,360.9142,0.343,360.9142,0.3227
361.1264,0.3856,361.1264,0.306,361.1264,0.2535
361.3386,0.3021,361.3386,0.3817,361.3386,0.244
361.5508,0.349,361.5508,0.2964,361.5508,0.2657
361.763,0.331,361.763,0.3224,361.763,0.2548
361.9751,0.3757,361.9751,0.2764,361.9751,0.2819
362.1873,0.3644,362.1873,0.3386,362.1873,0.2926
362.3994,0.3652,362.3994,0.2863,362.3994,0.3436
362.6115,0.3202,362.6115,0.3371,362.6115,0.2957
362.8237,0.3241,362.8237,0.2942,362.8237,0.284
363.0358,0.3229,363.0358,0.2908,363.0358,0.2928
363.2479,0.3851,363.2479,0.2797,363.2479,0.2888
363.46,0.357,363.46,0.3261,363.46,0.3056
363.672,0.3288,363.672,0.3387,363.672,0.3096
363.8841,0.3445,363.8841,0.3187,363.8841,0.3112
364.0962,0.3659,364.0962,0.3084,364.0962,0.2939
364.3082,0.3669,364.3082,0.3088,364.3082,0.2535
364.5202,0.3444,364.5202,0.2929,364.5202,0.2483
364.7323,0.376,364.7323,0.3186,364.7323,0.2767
364.9443,0.3751,364.9443,0.3122,364.9443,0.2668
365.1563,0.3604,365.1563,0.3261,365.1563,0.3088
365.3683,0.3688,365.3683,0.3278,365.3683,0.2909
365.5803,0.3776,365.5803,0.3104,365.5803,0.2699
365.7923,0.352,365.7923,0.3054,365.7923,0.2754
366.0042,0.3949,366.0042,0.3006,366.0042,0.3107
366.2162,0.3745,366.2162,0.3351,366.2162,0.2855
366.4281,0.3647,366.4281,0.3348,366.4281,0.2974
366.6401,0.3538,366.6401,0.3241,366.6401,0.2759
366.852,0.3578,366.852,0.3523,366.852,0.2871
367.0639,0.3671,367.0639,0.3342,367.0639,0.2779
367.2758,0.3701,367.2758,0.3727,367.2758,0.2808
367.4877,0.3348,367.4877,0.3195,367.4877,0.2787
367.6996,0.3526,367.6996,0.3214,367.6996,0.2818
367.9115,0.368,367.9115,0.3356,367.9115,0.293
368.1234,0.3371,368.1234,0.3425,368.1234,0.2919
368.3352,0.3629,368.3352,0.3383,368.3352,0.2937
368.5471,0.3539,368.5471,0.3328,368.5471,0.2619
368.7589,0.355,368.7589,0.3294,368.7589,0.2681
368.9707,0.3663,368.9707,0.3175,368.9707,0.2784
369.1825,0.3268,369.1825,0.3262,369.1825,0.2666
369.3943,0.3786,369.3943,0.2851,369.3943,0.297
369.6061,0.3391,369.6061,0.3222,369.6061,0.2738
369.8179,0.3676,369.8179,0.3105,369.8179,0.3074
370.0297,0.3485,370.0297,0.3191,370.0297,0.2729
370.2415,0.3481,370.2415,0.3157,370.2415,0.2982
370.4532,0.3566,370.4532,0.3182,370.4532,0.2679
370.665,0.3657,370.665,0.3344,370.665,0.2938
370.8767,0.3424,370.8767,0.3171,370.8767,0.2546
371.0884,0.3686,371.0884,0.3072,371.0884,0.2809
371.3001,0.3274,371.3001,0.3379,371.3001,0.2782
371.5118,0.3468,371.5118,0.2818,371.5118,0.2497
371.7235,0.3513,371.7235,0.3246,371.7235,0.2735
371.9352,0.3716,371.9352,0.3138,371.9352,0.2505
372.1469,0.3347,372.1469,0.3225,372.1469,0.259
372.3585,0.3692,372.3585,0.3176,372.3585,0.2702
372.5702,0.3578,372.5702,0.2896,372.5702,0.2843
372.7818,0.3483,372.7818,0.2985,372.7818,0.2772
372.9935,0.3695,372.9935,0.3743,372.9935,0.2971
373.2051,0.3872,373.2051,0.3138,373.2051,0.3064
373.4167,0.3608,373.4167,0.3256,373.4167,0.2865
373.6283,0.3664,373.6283,0.3305,373.6283,0.2937
373.8399,0.3327,373.8399,0.3403,373.8399,0.2555
374.0515,0.3604,374.0515,0.3186,374.0515,0.2661
