Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,-0.1279,346.0353,-0.4092,346.0353,-0.0247
346.2482,-0.1279,346.2482,-0.4092,346.2482,-0.0247
346.4611,-0.1279,346.4611,-0.4092,346.4611,-0.0247
346.674,0.0109,346.674,0.0619,346.674,-0.4047
346.8868,0,346.8868,0,346.8868,0.2598
347.0997,0,347.0997,0.5499,347.0997,0.3936
347.3125,0.1598,347.3125,0,347.3125,-0.9952
347.5254,0,347.5254,0,347.5254,0
347.7382,-1.8788,347.7382,0.5098,347.7382,0
347.951,0,347.951,-0.0382,347.951,0.645
348.1638,-0.2028,348.1638,0,348.1638,0.2007
348.3766,0,348.3766,0,348.3766,0
348.5894,0.2549,348.5894,-0.6169,348.5894,-0.403
348.8022,0,348.8022,-0.9923,348.8022,-0.2338
349.015,-0.0862,349.015,1.1864,349.015,-0.2226
349.2277,0,349.2277,0.1821,349.2277,0.6267
349.4405,0.0381,349.4405,0.374,349.4405,0.169
349.6532,-0.4666,349.6532,-0.4965,349.6532,0
349.866,0.4586,349.866,0.4487,349.866,0.6222
350.0787,0.3623,350.0787,0.4159,350.0787,0.6187
350.2914,0.3449,350.2914,0.4001,350.2914,0.5731
350.5041,0.3885,350.5041,0.4034,350.5041,0.671
350.7168,0.3663,350.7168,0.4669,350.7168,0.777
350.9295,0.3891,350.9295,0.4042,350.9295,0.722
351.1421,0.3751,351.1421,0.3815,351.1421,0.5403
351.3548,0.3617,351.3548,0.4158,351.3548,0.6584
351.5675,0.3395,351.5675,0.4114,351.5675,0.5781
351.7801,0.3433,351.7801,0.4307,351.7801,0.7086
351.9927,0.3053,351.9927,0.3998,351.9927,0.5265
352.2053,0.3916,352.2053,0.4162,352.2053,0.5508
352.418,0.3202,352.418,0.4164,352.418,0.6533
352.6306,0.379,352.6306,0.344,352.6306,0.6498
352.8432,0.363,352.8432,0.3727,352.8432,0.5818
353.0557,0.3588,353.0557,0.3688,353.0557,0.6434
353.2683,0.3479,353.2683,0.4026,353.2683,0.7371
353.4809,0.3458,353.4809,0.445,353.4809,0.6482
353.6934,0.3054,353.6934,0.3699,353.6934,0.5272
353.906,0.3582,353.906,0.4092,353.906,0.6369
354.1185,0.3498,354.1185,0.4102,354.1185,0.6849
354.331,0.3339,354.331,0.3912,354.331,0.7469
354.5435,0.3755,354.5435,0.43,354.5435,0.712
354.756,0.4114,354.756,0.3994,354.756,0.6898
354.9685,0.3806,354.9685,0.3905,354.9685,0.6293
355.181,0.3234,355.181,0.4279,355.181,0.6598
355.3935,0.3613,355.3935,0.4312,355.3935,0.6815
355.6059,0.3269,355.6059,0.3782,355.6059,0.578
355.8184,0.3687,355.8184,0.3839,355.8184,0.7396
356.0308,0.3181,356.0308,0.3869,356.0308,0.5767
356.2433,0.3816,356.2433,0.3857,356.2433,0.5769
356.4557,0.3503,356.4557,0.4389,356.4557,0.5859
356.6681,0.3875,356.6681,0.3685,356.6681,0.6989
356.8805,0.3492,356.8805,0.3751,356.8805,0.7062
357.0929,0.4167,357.0929,0.4431,357.0929,0.6044
357.3053,0.3667,357.3053,0.415,357.3053,0.6958
357.5176,0.3496,357.5176,0.4617,357.5176,0.7021
357.73,0.3425,357.73,0.3871,357.73,0.5503
357.9424,0.3359,357.9424,0.3759,357.9424,0.7634
358.1547,0.4206,358.1547,0.3783,358.1547,0.671
358.367,0.4055,358.367,0.3799,358.367,0.6238
358.5793,0.3412,358.5793,0.4339,358.5793,0.6481
358.7917,0.3517,358.7917,0.3537,358.7917,0.6651
359.004,0.4446,359.004,0.4195,359.004,0.5966
359.2162,0.3546,359.2162,0.3705,359.2162,0.5868
359.4285,0.3606,359.4285,0.4242,359.4285,0.7079
359.6408,0.399,359.6408,0.3957,359.6408,0.5941
359.8531,0.3438,359.8531,0.3788,359.8531,0.648
360.0653,0.329,360.0653,0.4251,360.0653,0.6707
360.2776,0.3487,360.2776,0.4681,360.2776,0.5897
360.4898,0.3399,360.4898,0.425,360.4898,0.6503
360.702,0.3656,360.702,0.3659,360.702,0.644
360.9142,0.3369,360.9142,0.3771,360.9142,0.6159
361.1264,0.3945,361.1264,0.3754,361.1264,0.561
361.3386,0.364,361.3386,0.4083,361.3386,0.6156
361.5508,0.4192,361.5508,0.395,361.5508,0.6804
361.763,0.3508,361.763,0.4342,361.763,0.7428
361.9751,0.3721,361.9751,0.3674,361.9751,0.6697
362.1873,0.3332,362.1873,0.4249,362.1873,0.6382
362.3994,0.3349,362.3994,0.3894,362.3994,0.5979
362.6115,0.4102,362.6115,0.3898,362.6115,0.6423
362.8237,0.3643,362.8237,0.3797,362.8237,0.6788
363.0358,0.3365,363.0358,0.3559,363.0358,0.6811
363.2479,0.3548,363.2479,0.374,363.2479,0.6906
363.46,0.363,363.46,0.4021,363.46,0.703
363.672,0.3525,363.672,0.4247,363.672,0.6938
363.8841,0.3683,363.8841,0.3891,363.8841,0.6189
364.0962,0.3788,364.0962,0.4231,364.0962,0.6771
364.3082,0.3283,364.3082,0.3917,364.3082,0.6242
364.5202,0.3198,364.5202,0.422,364.5202,0.6826
364.7323,0.3637,364.7323,0.4087,364.7323,0.7043
364.9443,0.3695,364.9443,0.4234,364.9443,0.6899
365.1563,0.3627,365.1563,0.4277,365.1563,0.6834
365.3683,0.3778,365.3683,0.4119,365.3683,0.6943
365.5803,0.397,365.5803,0.4139,365.5803,0.6719
365.7923,0.3741,365.7923,0.3941,365.7923,0.7032
366.0042,0.3697,366.0042,0.4408,366.0042,0.6739
366.2162,0.3451,366.2162,0.4112,366.2162,0.6705
366.4281,0.3707,366.4281,0.424,366.4281,0.5929
366.6401,0.4078,366.6401,0.3952,366.6401,0.6856
366.852,0.3678,366.852,0.3757,366.852,0.7127
367.0639,0.3622,367.0639,0.3852,367.0639,0.71
367.2758,0.3612,367.2758,0.387,367.2758,0.6452
367.4877,0.3701,367.4877,0.4259,367.4877,0.6489
367.6996,0.3588,367.6996,0.4009,367.6996,0.7221
367.9115,0.3505,367.9115,0.4019,367.9115,0.6548
368.1234,0.3812,368.1234,0.3468,368.1234,0.678
368.3352,0.3473,368.3352,0.4089,368.3352,0.695
368.5471,0.3971,368.5471,0.3893,368.5471,0.6823
368.7589,0.3738,368.7589,0.4077,368.7589,0.6575
368.9707,0.3469,368.9707,0.395,368.9707,0.7094
369.1825,0.3926,369.1825,0.4349,369.1825,0.6873
369.3943,0.3642,369.3943,0.4229,369.3943,0.707
369.6061,0.3644,369.6061,0.3723,369.6061,0.6642
369.8179,0.3446,369.8179,0.3948,369.8179,0.6634
370.0297,0.3769,370.0297,0.4052,370.0297,0.7037
370.2415,0.3673,370.2415,0.3869,370.2415,0.6611
370.4532,0.3676,370.4532,0.3994,370.4532,0.6616
370.665,0.3528,370.665,0.3954,370.665,0.7764
370.8767,0.3758,370.8767,0.3851,370.8767,0.6588
371.0884,0.3691,371.0884,0.3883,371.0884,0.6555
371.3001,0.3554,371.3001,0.3876,371.3001,0.7299
371.5118,0.3645,371.5118,0.393,371.5118,0.7247
371.7235,0.3924,371.7235,0.4162,371.7235,0.7091
371.9352,0.3751,371.9352,0.3793,371.9352,0.6632
372.1469,0.3497,372.1469,0.3924,372.1469,0.7154
372.3585,0.3607,372.3585,0.3963,372.3585,0.6895
372.5702,0.3523,372.5702,0.4043,372.5702,0.6832
372.7818,0.3534,372.7818,0.4273,372.7818,0.6434
372.9935,0.3326,372.9935,0.4098,372.9935,0.6695
373.2051,0.3858,373.2051,0.362,373.2051,0.7174
373.4167,0.3516,373.4167,0.3991,373.4167,0.7152
373.6283,0.3746,373.6283,0.3862,373.6283,0.6463
373.8399,0.3797,373.8399,0.3994,373.8399,0.6731
374.0515,0.3641,374.0515,0.3956,374.0515,0.7013
