Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
346.0353,-0.6927,346.0353,0.1773,346.0353,-1.2775
346.2482,-0.6927,346.2482,0.1773,346.2482,-1.2775
346.4611,-0.6927,346.4611,0.1773,346.4611,-1.2775
346.674,0,346.674,0.5188,346.674,0.1127
346.8868,-0.1643,346.8868,0,346.8868,-0.0516
347.0997,0,347.0997,0.5753,347.0997,0
347.3125,0.9484,347.3125,-0.1009,347.3125,-0.5623
347.5254,0,347.5254,-0.232,347.5254,0
347.7382,0,347.7382,0.3312,347.7382,0
347.951,0.1022,347.951,0,347.951,0.0647
348.1638,0.0473,348.1638,0.5461,348.1638,-0.0744
348.3766,-0.2849,348.3766,0.5238,348.3766,-0.0769
348.5894,0,348.5894,-0.9791,348.5894,0.4136
348.8022,0.5284,348.8022,0.0592,348.8022,0
349.015,-0.0347,349.015,-0.0713,349.015,-0.382
349.2277,-0.5949,349.2277,-0.1376,349.2277,-0.4008
349.4405,0.146,349.4405,-0.0359,349.4405,-0.1975
349.6532,0.4237,349.6532,-0.2918,349.6532,0.0792
349.866,0.2162,349.866,0.2439,349.866,0.0635
350.0787,0.2805,350.0787,0.2021,350.0787,0.019
350.2914,0.2358,350.2914,0.1981,350.2914,0.0847
350.5041,0.2849,350.5041,0.2325,350.5041,0.0635
350.7168,0.2552,350.7168,0.2166,350.7168,0.0511
350.9295,0.2241,350.9295,0.2203,350.9295,0.0437
351.1421,0.2256,351.1421,0.2014,351.1421,0.063
351.3548,0.2546,351.3548,0.1903,351.3548,0.0439
351.5675,0.2596,351.5675,0.1915,351.5675,0.0672
351.7801,0.2771,351.7801,0.1993,351.7801,0.0563
351.9927,0.2143,351.9927,0.2219,351.9927,0.0693
352.2053,0.2233,352.2053,0.1501,352.2053,0.0735
352.418,0.2068,352.418,0.2033,352.418,0.0807
352.6306,0.2579,352.6306,0.1809,352.6306,0.0678
352.8432,0.2295,352.8432,0.1955,352.8432,0.0407
353.0557,0.2709,353.0557,0.2273,353.0557,0.0517
353.2683,0.2789,353.2683,0.2081,353.2683,0.0748
353.4809,0.2505,353.4809,0.1858,353.4809,0.0538
353.6934,0.297,353.6934,0.2159,353.6934,0.058
353.906,0.2601,353.906,0.2105,353.906,0.0886
354.1185,0.2688,354.1185,0.201,354.1185,0.0599
354.331,0.2908,354.331,0.1803,354.331,0.0813
354.5435,0.2666,354.5435,0.2058,354.5435,0.0548
354.756,0.2782,354.756,0.2123,354.756,0.0556
354.9685,0.2215,354.9685,0.2297,354.9685,0.059
355.181,0.2556,355.181,0.2211,355.181,0.0659
355.3935,0.2521,355.3935,0.1846,355.3935,0.0585
355.6059,0.225,355.6059,0.1984,355.6059,0.0687
355.8184,0.2595,355.8184,0.2255,355.8184,0.0779
356.0308,0.2692,356.0308,0.2217,356.0308,0.0503
356.2433,0.2717,356.2433,0.2196,356.2433,0.0591
356.4557,0.2627,356.4557,0.2177,356.4557,0.0592
356.6681,0.25,356.6681,0.2067,356.6681,0.0705
356.8805,0.2303,356.8805,0.2425,356.8805,0.0635
357.0929,0.2554,357.0929,0.2545,357.0929,0.0585
357.3053,0.2085,357.3053,0.2057,357.3053,0.056
357.5176,0.2486,357.5176,0.2271,357.5176,0.0335
357.73,0.274,357.73,0.2018,357.73,0.0634
357.9424,0.2422,357.9424,0.227,357.9424,0.0571
358.1547,0.2399,358.1547,0.2197,358.1547,0.0621
358.367,0.3101,358.367,0.2105,358.367,0.0676
358.5793,0.2699,358.5793,0.1952,358.5793,0.038
358.7917,0.2673,358.7917,0.2242,358.7917,0.0655
359.004,0.2605,359.004,0.2261,359.004,0.0698
359.2162,0.2299,359.2162,0.212,359.2162,0.1026
359.4285,0.2861,359.4285,0.2,359.4285,0.0642
359.6408,0.2478,359.6408,0.2198,359.6408,0.0572
359.8531,0.2717,359.8531,0.2136,359.8531,0.05
360.0653,0.2489,360.0653,0.2128,360.0653,0.0609
360.2776,0.2658,360.2776,0.2044,360.2776,0.0662
360.4898,0.2504,360.4898,0.2032,360.4898,0.0715
360.702,0.2608,360.702,0.2196,360.702,0.0596
360.9142,0.2547,360.9142,0.2122,360.9142,0.062
361.1264,0.2633,361.1264,0.2094,361.1264,0.0468
361.3386,0.2495,361.3386,0.1935,361.3386,0.08
361.5508,0.2386,361.5508,0.2061,361.5508,0.0652
361.763,0.2464,361.763,0.2091,361.763,0.0626
361.9751,0.278,361.9751,0.1917,361.9751,0.0924
362.1873,0.2235,362.1873,0.2155,362.1873,0.0722
362.3994,0.2531,362.3994,0.1907,362.3994,0.0808
362.6115,0.2283,362.6115,0.2105,362.6115,0.0867
362.8237,0.269,362.8237,0.2019,362.8237,0.0585
363.0358,0.2842,363.0358,0.2401,363.0358,0.0473
363.2479,0.2597,363.2479,0.2035,363.2479,0.0536
363.46,0.2498,363.46,0.2065,363.46,0.0675
363.672,0.2314,363.672,0.2081,363.672,0.0589
363.8841,0.2444,363.8841,0.2245,363.8841,0.0688
364.0962,0.2628,364.0962,0.2087,364.0962,0.0502
364.3082,0.2692,364.3082,0.2092,364.3082,0.0793
364.5202,0.2578,364.5202,0.1971,364.5202,0.0475
364.7323,0.277,364.7323,0.1974,364.7323,0.0476
364.9443,0.2502,364.9443,0.2121,364.9443,0.0913
365.1563,0.2537,365.1563,0.2123,365.1563,0.0631
365.3683,0.2542,365.3683,0.2064,365.3683,0.0634
365.5803,0.2346,365.5803,0.2159,365.5803,0.0612
365.7923,0.2688,365.7923,0.1956,365.7923,0.0652
366.0042,0.2716,366.0042,0.1956,366.0042,0.0556
366.2162,0.2339,366.2162,0.2229,366.2162,0.0687
366.4281,0.2476,366.4281,0.2114,366.4281,0.0631
366.6401,0.2376,366.6401,0.1864,366.6401,0.0749
366.852,0.2577,366.852,0.194,366.852,0.0603
367.0639,0.2308,367.0639,0.2211,367.0639,0.0648
367.2758,0.2488,367.2758,0.2089,367.2758,0.0766
367.4877,0.2498,367.4877,0.2081,367.4877,0.0614
367.6996,0.2601,367.6996,0.2044,367.6996,0.0782
367.9115,0.2228,367.9115,0.2082,367.9115,0.0707
368.1234,0.2388,368.1234,0.2019,368.1234,0.0738
368.3352,0.2503,368.3352,0.1926,368.3352,0.0687
368.5471,0.2405,368.5471,0.1843,368.5471,0.0683
368.7589,0.2484,368.7589,0.2092,368.7589,0.0682
368.9707,0.2264,368.9707,0.2114,368.9707,0.0559
369.1825,0.2384,369.1825,0.2148,369.1825,0.0663
369.3943,0.2397,369.3943,0.2024,369.3943,0.0693
369.6061,0.2412,369.6061,0.1952,369.6061,0.0674
369.8179,0.2584,369.8179,0.195,369.8179,0.0504
370.0297,0.2564,370.0297,0.193,370.0297,0.0511
370.2415,0.2432,370.2415,0.2075,370.2415,0.0601
370.4532,0.2745,370.4532,0.2121,370.4532,0.0615
370.665,0.2315,370.665,0.2085,370.665,0.059
370.8767,0.2534,370.8767,0.1952,370.8767,0.0518
371.0884,0.236,371.0884,0.1966,371.0884,0.0687
371.3001,0.2549,371.3001,0.2015,371.3001,0.0502
371.5118,0.2397,371.5118,0.1987,371.5118,0.0543
371.7235,0.2345,371.7235,0.1876,371.7235,0.0528
371.9352,0.2528,371.9352,0.1836,371.9352,0.0605
372.1469,0.2569,372.1469,0.2125,372.1469,0.0597
372.3585,0.2393,372.3585,0.1974,372.3585,0.0546
372.5702,0.2575,372.5702,0.1934,372.5702,0.055
372.7818,0.2468,372.7818,0.1946,372.7818,0.0447
372.9935,0.2434,372.9935,0.2109,372.9935,0.0509
373.2051,0.241,373.2051,0.2137,373.2051,0.0609
373.4167,0.2612,373.4167,0.1923,373.4167,0.066
373.6283,0.2572,373.6283,0.1813,373.6283,0.0568
373.8399,0.2298,373.8399,0.2011,373.8399,0.0616
